año,periodo,mes,ITAEE,CPTPC,CPTPU,CPTEC,CPTEU,INPC,INPC2,PATRON
2004,,enero,,-0.046197874,0.063977835,0.041778254,0.131967821,0.035417385,,0.018067487
2004,,febrero,,-0.035102041,0.066676284,0.066128218,0.194717585,0.037522716,,0.021150965
2004,2004T1,marzo,0.074618739,-0.044344996,0.067714413,0.022931206,0.299304606,0.037247018,,0.026477293
2004,,abril,,-0.039967374,0.070970622,-0.029591837,0.270137256,0.04103539,,0.027055333
2004,,mayo,,-0.042752443,0.072350988,4.057471264,0.193485989,0.041410249,,0.028342897
2004,2004T2,junio,0.088377826,-0.047173648,0.081418046,2.510948905,0.092459563,0.037575007,,0.02551241
2004,,julio,,0.00131406,0.084151105,0.3556231,0.088808664,0.046163787,,0.024130773
2004,,agosto,,0.00218436,0.085878691,0.62797619,0.081126761,0.050437742,,0.034039597
2004,2004T3,septiembre,0.070181289,0.005237887,0.082009091,0.455307263,0.159845861,0.050981502,,0.037236351
2004,,octubre,,0.114173228,0.084234459,0.562248996,0.184016775,0.049053894,,0.029774748
2004,,noviembre,,0.112329969,0.085748705,0.254885993,0.344169719,0.047931195,,0.035239247
2004,2004T4,diciembre,0.119509638,0.099343545,0.083520743,0.159146341,0.508494511,0.050028341,,0.036595967
2005,,enero,,0.041577368,0.10244352,0.019023136,0.300856855,0.042725002,,0.038799478
2005,,febrero,,0.037225042,0.097358193,-0.080018939,0.361709254,0.039714952,,0.034521446
2005,2005T1,marzo,0.109304833,0.037888463,0.096040105,-0.078947368,0.212985304,0.038518423,,0.030833618
2005,,abril,,0.016142736,0.097068155,-0.012092534,0.313213071,0.043300623,,0.033480625
2005,,mayo,,0.001701404,0.105900326,-0.070454545,0.33619519,0.046197603,,0.032634427
2005,2005T2,junio,0.078812266,-0.037131882,0.107474386,0.012474012,0.288393009,0.048432552,,0.033985495
2005,,julio,,0.021434821,0.088162613,0.076233184,0.255719496,0.040802238,,0.037243476
2005,,agosto,,0.095466434,0.081457621,-0.361974406,0.432256384,0.036885209,,0.036698018
2005,2005T3,septiembre,0.050101886,0.134172818,0.090043878,-0.353166987,0.366977879,0.031958837,,0.040167364
2005,,octubre,,0.154299176,0.078612268,-0.092544987,0.224369318,0.034518931,,0.039808917
2005,,noviembre,,0.177514793,0.015075488,-0.303698897,0.346201885,0.036103101,,0.020273653
2005,2005T4,diciembre,-0.064461972,0.216958599,0.004852172,-0.159915834,0.237806463,0.0404945,,0.017945493
2006,,enero,,0.293004115,0.00387206,-0.160948537,0.230462242,0.050475033,,0.021941211
2006,,febrero,,0.192088091,0.015892322,-0.070509521,0.150894332,0.05001729,,0.028864603
2006,2006T1,marzo,-0.020357854,0.198113208,0.024912052,-0.096296296,0.215985533,0.047854931,,0.029248488
2006,,abril,,0.237458194,0.025199219,-0.087812666,0.080683234,0.042458209,,0.024831442
2006,,mayo,,0.264118896,0.029402838,1.975550122,0.120082612,0.042661951,,0.027263796
2006,2006T2,junio,0.021213303,0.35106383,0.030387226,-0.59137577,0.134507738,0.038910438,,0.030584781
2006,,julio,,0.276659529,0.044674126,-0.508333333,0.157964222,0.037579418,,0.034929165
2006,,agosto,,0.190210903,0.047921809,-0.180515759,0.148687163,0.039317164,,0.039692183
2006,2006T3,septiembre,0.084565686,0.171133231,0.040321198,-0.394658754,0.180900812,0.046223058,,0.031053902
2006,,octubre,,0.07244898,0.047535652,-0.478753541,0.253134041,0.048619943,,0.033610059
2006,,noviembre,,0.050586265,0.11355405,-0.737185461,0.135008997,0.047065271,,0.053234116
2006,2006T4,diciembre,0.193673733,-0.014066078,0.121993023,-0.268628679,0.191664334,0.040815112,,0.057665376
2007,,enero,,0.008274984,0.110266507,-0.131088394,0.234279057,0.037747321,,0.04826682
2007,,febrero,,0.026684913,0.101599709,-0.222591362,0.244023083,0.036673929,,0.042163302
2007,2007T1,marzo,0.150959591,-0.024991441,0.098282235,-0.139344262,0.195348284,0.040680398,,0.038319111
2007,,abril,,-0.068581081,0.095894783,-0.239206534,0.249006462,0.026728626,,0.040917843
2007,,mayo,,-0.059119919,0.090019977,0.063270337,0.221939298,0.020150198,,0.036183948
2007,2007T2,junio,0.127946262,-0.078740157,0.083999096,0.27638191,0.226208098,0.02014243,,0.033396645
2007,,julio,,-0.136195907,0.078867228,0.254237288,0.246152092,0.02198671,,0.028007238
2007,,agosto,,-0.1370779,0.070307337,-0.293706294,0.098981154,0.023184925,,0.017686015
2007,2007T3,septiembre,0.062579326,-0.201372998,0.058464642,0.151960784,0.114995832,0.018630492,,0.012484395
2007,,octubre,,-0.161433555,0.059658865,0.076086957,0.153417981,0.025346226,,0.015283843
2007,,noviembre,,-0.158482143,0.059750839,-0.315602837,0.151523408,0.025198332,,0.014673913
2007,2007T4,diciembre,0.085086247,-0.126078301,0.053020437,-0.167808219,0.096937127,0.028101456,,0.014019783
2008,,enero,,-0.202967172,0.05700254,-0.116262976,0.113988315,0.030311907,,0.012429644
2008,,febrero,,-0.15194935,0.058005362,-0.112535613,0.130378224,0.035433552,,0.008402708
2008,2008T1,marzo,0.07853713,-0.191011236,0.052031187,-0.223809524,0.142846479,0.038068122,,0.002636068
