año,periodo,mes,ITAEE,CPTPC,CPTPU,CPTEC,CPTEU,INPC,INPC2,PATRON
2004,,enero,,0.041027384,0.007697417,-0.15294297,0.033716731,0.038633464,0.023336031,-0.005040534
2004,,febrero,,0.04427593,0.010751335,-0.204919094,0.018437814,0.043512943,0.028414016,-0.004878731
2004,2004T1,marzo,0.021310539,0.058984569,0.018088617,-0.090100598,0.055901643,0.038799563,0.03439347,-0.001648068
2004,,abril,,0.051645293,0.020708733,-0.116636146,0.045201512,0.042734463,0.044270633,-0.002508606
2004,,mayo,,0.054001593,0.021910175,0.522267206,0.050204177,0.045443111,0.053741648,-0.000265271
2004,2004T2,junio,0.027408073,0.050429399,0.023567102,-0.043604651,0.052841278,0.049697965,0.050018301,0.000752855
2004,,julio,,0.089955232,0.024973678,0.151395989,0.035729362,0.048021184,0.050729573,0.002417281
2004,,agosto,,0.085295632,0.025183084,0.575436739,0.032192566,0.058180594,0.051415726,0.0027251
2004,2004T3,septiembre,0.033440771,0.075672646,0.024421031,0.12270689,0.013004542,0.058177555,0.054362461,0.002851033
2004,,octubre,,0.072680653,0.021455384,0.310045662,-0.027865318,0.062517847,0.062158021,-0.000571963
2004,,noviembre,,0.059458708,0.02813537,0.927888446,-0.015127505,0.061363335,0.062558604,0.00362405
2004,2004T4,diciembre,0.02805914,0.047188106,0.023800922,0.407180743,-0.035911602,0.057169528,0.056324762,0.000266278
2005,,enero,,0.044727391,0.028813935,0.478667867,-0.038540513,0.047829348,0.053930892,-0.000365883
0,,febrero,,0.046099789,0.027648772,0.391566265,-0.008632589,0.047198658,0.050565691,0.000463574
2005,2005T1,marzo,0.012206614,0.061057579,0.020895878,0.366127223,-0.055850428,0.051804695,0.050828688,-0.003861166
2005,,abril,,0.061870776,0.019997215,0.22930952,-0.049819204,0.059359924,0.045316277,-0.004624649
2005,,mayo,,0.076970298,0.022141814,0.316710993,-0.009016263,0.057876861,0.054221691,-0.002904785
2005,2005T2,junio,0.020863575,0.096539595,0.024287563,0.489868288,-0.008080871,0.049674515,0.053717378,-0.001198089
2005,,julio,,-0.025756214,0.024006737,0.30942623,-0.021141185,0.052031938,0.055520557,-0.004488368
2005,,agosto,,-0.025234008,0.023139627,0.31686828,0.009116484,0.040188394,0.052531502,-0.001825733
2005,2005T3,septiembre,0.023619442,-0.007599444,0.025610058,0.353304285,0.028815853,0.032358611,0.050780684,-0.002271555
2005,,octubre,,-0.013299144,0.028312275,0.365284071,0.082014588,0.027932561,0.037923651,0.002987075
2005,,noviembre,,-0.028170246,0.029834605,0.103740442,0.099664433,0.022733959,0.034237784,0.003429719
2005,2005T4,diciembre,0.063951964,-0.007054674,0.027672039,0.037112206,0.074063751,0.029139463,0.041239412,0.004623597
2006,,enero,,0.0253125,0.025679805,0.003043584,0.09806114,0.037162978,0.049053941,0.008939255
2006,,febrero,,0.022526759,0.028559452,0.045513046,0.077994966,0.033587637,0.047240374,0.008256224
2006,2006T1,marzo,0.075402919,0.032470984,0.033975347,0.057823129,0.1262294,0.027475931,0.041524606,0.012808089
2006,,abril,,0.006854803,0.03362956,-0.016474251,0.106575595,0.01976888,0.037593192,0.011846944
2006,,mayo,,-0.013153856,0.039084525,-0.176737923,0.09107918,0.019350719,0.03316253,0.011162778
2006,2006T2,junio,0.065205979,-0.021977546,0.041932757,0.424345461,0.111577172,0.02262241,0.03086941,0.011465235
2006,,julio,,-0.011505863,0.045497055,0.12962963,0.119188188,0.019772926,0.026823403,0.015304051
2006,,agosto,,-0.004646429,0.050073862,0.16560347,0.116049719,0.024903411,0.032016873,0.014786166
2006,2006T3,septiembre,0.040983891,-0.005994837,0.052494257,0.221089348,0.077345284,0.033770223,0.042776001,0.017417661
2006,,octubre,,0.002334493,0.05438083,0.235128925,0.045512334,0.034363453,0.04618824,0.01511356
2006,,noviembre,,0.019579601,0.051796753,0.124882981,0.03057315,0.030012988,0.04281762,0.014950258
2006,2006T4,diciembre,0.028639985,0.011545293,0.049518632,0.179899357,0.018996014,0.029103074,0.04480411,0.013221204
2007,,enero,,-0.007314843,0.055362624,0.172957883,0.032096452,0.032621825,0.047892769,0.01479001
2007,,febrero,,0.00503679,0.054877587,0.113361683,0.03302632,0.032926808,0.054320252,0.017686298
