año,periodo,mes,TIIE28,Act Primaria,Mineria ,Energia,Construccion,Manufactura,Comercio mayor,Comercio menor,Transporte,Serv financiero,Serv profesionales,Serv educativos,Serv esparcimiento,Serv alojamiento,Act guber,IPC,IMAI
2004,,enero,-0.41356674,0.111766109,0.035464909,0.106818868,0.092311407,0.020219985,-0.007314048,-0.023007844,0.044829073,0.049354696,0.007693281,0.009173041,-0.005071945,0.010517507,-0.020169834,0.583509535,0.040785735
2004,,febrero,-0.415741675,0.087795474,0.02059341,0.103197406,0.007111612,0.005324491,0.015110562,-0.004767274,0.042604876,0.051326437,0.04319899,0.001685033,0.007479424,0.009091243,-0.026253306,0.685793631,0.014680213
2004,2004T1,marzo,-0.348393574,0.039947578,0.016056415,0.12429954,0.084063951,0.041747558,0.059938282,0.046631424,0.06048634,0.057819019,0.015221104,0.015923561,0.028635826,0.006527104,0.006216991,0.778398148,0.046098521
2004,,abril,-0.280885781,0.026678099,0.045869086,0.115665294,0.080305303,0.02846581,0.032566528,0.02015362,0.045700968,0.065601235,0.042066568,0.007967838,-0.003820411,0.025826738,-0.001265252,0.528158737,0.045402313
2004,,mayo,0.173986486,0.036191672,0.026747175,0.097785192,0.077531423,0.03428618,0.08313638,0.055843544,0.049155775,0.068749898,0.058459565,0.022181531,-0.008807295,0.023057219,-0.027455726,0.498137085,0.043275777
2004,2004T2,junio,0.212435233,-0.028974509,0.024349775,0.104607489,0.070459564,0.024813507,0.063344031,0.046641355,0.05307588,0.07571973,0.049049225,0.007930134,0.026992908,0.035400266,-0.003036869,0.457382647,0.036727346
2004,,julio,0.341509434,-0.04169125,-0.003055506,0.102540148,0.065611012,0.033940301,0.057066956,0.033168317,0.05526035,0.058822113,0.029886816,0.003566846,0.016117716,0.047794692,-0.011371269,0.375430825,0.031910979
2004,,agosto,0.509054326,-0.026223666,-0.00527844,0.121142661,0.047937301,0.046028536,0.089629435,0.071553395,0.061858192,0.062354048,0.018823369,0.008964385,0.035871313,0.052253713,0.004243689,0.352094865,0.033864055
2004,2004T3,septiembre,0.540594059,-0.026907496,0.020012427,0.12671265,0.080042362,0.038410831,0.059607184,0.03994796,0.057107623,0.053846285,0.035855109,0.010530906,0.035000861,0.054725401,0.015979605,0.400753981,0.042803004
2004,,octubre,0.4375,0.063621648,0.020213954,0.129162744,0.056976873,0.038743098,0.07613439,0.044750238,0.054708229,0.043354517,0.030686185,0.009930092,0.043566931,0.067241084,0.0203448,0.433923592,0.042768046
