ano,periodo,mes,ITAEE,CPTPC,CPTPU,CPTEC,CPTEU,INPC,PATRON
2004,,enero,,-0.05277329,0.085395918,-0.25464684,0.149810304,0.027147553,0.022278187
2004,,febrero,,-0.068217874,0.074130191,0.045925926,0.126358168,0.034698809,0.013625024
2004,2004T1,marzo,0.00540759,-0.063559322,0.050133459,-0.114369501,0.124174562,0.031226646,0.016113562
2004,,abril,,-0.063593005,0.053489079,-0.115963855,0.088031064,0.037042366,0.010488177
2004,,mayo,,-0.082631579,0.042746851,1.78,0.07132011,0.032281233,0.022392344
2004,2004T2,junio,0.023016299,-0.088004191,0.045374671,0.104166667,-0.010592843,0.024788351,0.022709924
2004,,julio,,-0.002824859,0.038592691,-0.477272727,-0.060926112,0.030767324,0.014583333
2004,,agosto,,0.001693958,0.049413758,-0.469387755,-0.060696766,0.032136304,0.0153351
2004,2004T3,septiembre,0.006622202,0.004555809,0.037740074,0.604166667,-0.023446708,0.03812503,0.016846489
2004,,octubre,,-0.006179775,0.043804345,0.507936508,-0.034423776,0.042668757,0.018301887
2004,,noviembre,,0.013605442,0.033076244,1,-0.036190646,0.040467064,0.030136467
2004,2004T4,diciembre,0.011117026,0.013613159,0.032519698,1.75483871,-0.105576175,0.042290315,0.025568182
2005,,enero,,0.026719727,0.026281976,1.127182045,-0.127382451,0.045327198,0.030130756
2005,,febrero,,0.032349603,0.033122616,0.321529745,-0.136945007,0.045562797,0.03313139
2005,2005T1,marzo,-0.006286475,0.033371041,0.036559026,0.160596026,-0.096752224,0.04305948,0.034170285
2005,,abril,,0.059988681,0.046657929,0.511073254,-0.092958811,0.041814264,0.034534818
2005,,mayo,,0.042455536,0.043189671,0.021582734,-0.031669398,0.04750596,0.022276301
2005,2005T2,junio,0.003787208,0.017231476,0.052982721,3.226415094,-0.03774179,0.045599004,0.020899422
2005,,julio,,0.021529745,0.040776649,2.869565217,0.009109077,0.04223437,0.022960612
2005,,agosto,,0.010710259,0.045280408,2.211538462,0.001770382,0.038173494,0.026850643
2005,2005T3,septiembre,-0.040495317,0.009070295,0.043945722,0.701298701,-0.043665675,0.038048887,0.025502606
2005,,octubre,,0.011305822,0.042846896,1.484210526,-0.004030115,0.034272263,0.027052066
2005,,noviembre,,-0.007829978,0.02206292,0.654320988,0.056693422,0.035791757,0.02649494
2005,2005T4,diciembre,-0.035778646,-0.005036374,0.017079759,-0.428571429,0.101639836,0.038531865,0.019021237
2006,,enero,,-0.019379845,0.031590662,-0.446658851,0.118563113,0.038081292,0.016372333
2006,,febrero,,-0.029136888,0.040872314,-0.116827438,0.125442842,0.036276154,0.013560564
2006,2006T1,marzo,0.012589715,-0.033935413,0.05616964,0.320970043,0.057822809,0.033973581,0.01460387
2006,,abril,,-0.065136145,0.044515402,0.096956032,0.076331991,0.029757994,0.02079533
2006,,mayo,,-0.032471106,0.04310742,-0.017605634,0.080230537,0.029685258,0.03277788
2006,2006T2,junio,-0.022474655,0.004517222,0.045218295,0.46875,0.11009303,0.034447516,0.042039846
2006,,julio,,-0.067665003,0.05454388,1.039325843,0.118822825,0.037611935,0.042153285
2006,,agosto,,-0.078639152,0.057697258,1.610778443,0.08032164,0.038198419,0.04031233
2006,2006T3,septiembre,-0.014912595,-0.07752809,0.060505101,1.36259542,0.073244388,0.039433869,0.046287893
2006,,octubre,,-0.089435439,0.055843811,1.868644068,0.063186447,0.045356203,0.044199892
2006,,noviembre,,-0.072153326,0.063039818,1.645522388,0.080412101,0.04271559,0.039971321
2006,2006T4,diciembre,-0.068745625,-0.077615298,0.062900087,2.069672131,0.088904016,0.038880062,0.045849946
2007,,enero,,-0.078486731,0.065721081,0.951271186,0.055199715,0.054278411,0.042171946
2007,,febrero,,-0.07191393,0.061093365,0.615291262,0.041631567,0.052479575,0.0415838
2007,2007T1,marzo,-0.076610459,-0.07592068,0.037796677,0.542116631,0.125852007,0.0504895,0.043720763
2007,,abril,,-0.07424329,0.036935803,0.570400822,0.116936178,0.053433798,0.043602573
2007,,mayo,,-0.088168373,0.04378499,4.369175627,0.118902439,0.045944784,0.036347518
2007,2007T2,junio,-0.063955183,-0.100056211,0.03988776,3.255319149,0.113324349,0.045680656,0.027889844
2007,,julio,,0.041046996,0.037598395,0.906336088,0.030996583,0.046897319,0.021887585
2007,,agosto,,0.053268765,0.029679677,0.662844037,0.039097006,0.048723997,0.022342468
2007,2007T3,septiembre,-0.076069302,0.060292326,0.023401401,0.024232633,0.092982235,0.049700847,0.021165857
2007,,octubre,,0.06752609,0.026536536,0.001477105,0.094521121,0.042105089,0.015376641
2007,,noviembre,,0.047387606,0.037034927,0.102961918,0.032809406,0.040741632,0.013271286
