año,periodo,mes,ITAEE,CPTPC,CPTPU,CPTEC,CPTEU,INPC,INPC2,PATRON
2004,,enero,,,,,,,0.05391972,-0.002597628
2004,,febrero,,,,,,,0.053035107,-0.009997414
2004,2004T1,marzo,0.076612855,,,,,,0.048569083,-0.01389008
2004,,abril,,,,,,,0.04618195,-0.015099812
2004,,mayo,,,,,,,0.045230895,-0.016956374
2004,2004T2,junio,0.060519348,,,,,,0.049625867,-0.013040143
2004,,julio,,,,,,,0.052411199,-0.011896611
2004,,agosto,,,,,,,0.061961029,-0.012059528
2004,2004T3,septiembre,0.067530326,,,,,,0.072176687,-0.012311902
2004,,octubre,,,,,,,0.074194787,-0.015709041
2004,,noviembre,,,,,,,0.073052887,-0.016431322
2004,2004T4,diciembre,0.05231138,,,,,,0.068280267,-0.019956989
2005,,enero,,,,,,,0.060409766,-0.011980207
2005,,febrero,,,,,,,0.062079159,-0.007660834
2005,2005T1,marzo,0.00646594,,,,,,0.062824318,-0.013650987
2005,,abril,,,,,,,0.069798108,-0.013512343
2005,,mayo,,,,,,,0.076388637,-0.012741614
2005,2005T2,junio,-0.015373057,,,,,,0.06589039,-0.015112263
2005,,julio,,-0.428571429,-0.027069866,-0.818181818,0.175673587,,0.074292951,-0.011779991
2005,,agosto,,-0.428571429,-0.026799103,-0.818181818,0.254592652,,0.063664582,-0.011427582
2005,2005T3,septiembre,-0.010703253,-0.375,-0.015701375,0,0.256301731,,0.048640916,-0.008743075
2005,,octubre,,2,-0.008229999,64.5,0.210131332,,0.040716683,-0.005637956
2005,,noviembre,,41,-0.009545173,269.6666667,0.080022481,,0.044496792,-0.002610285
2005,2005T4,diciembre,-0.001087174,360,-0.012326195,266.3333333,0.01453323,,0.047843905,-0.000526639
2006,,enero,,180.6,-0.010635996,207.6666667,0.108979534,,0.054571569,-0.001317986
2006,,febrero,,184.2,-0.005487012,202.6666667,0.055918367,,0.050719035,0.002368629
2006,2006T1,marzo,0.021150656,201.6,0.01723582,216,-0.025052574,,0.047281729,0.008903385
2006,,abril,,262,0.003890707,158.25,-0.010555482,,0.039945594,0.005443849
2006,,mayo,,277,-0.00469749,144.5,0.105782727,,0.040404806,0.005179982
2006,2006T2,junio,0.0471887,283.5,0.003013035,144.5,0.102252252,,0.044914939,0.002367383
2006,,julio,,290.75,0.006292924,274,0.073484948,,0.034728086,0.0001753
2006,,agosto,,288.75,0.005806057,323,0.014244788,,0.040345845,0.005954987
2006,2006T3,septiembre,0.020531084,232.4,0.032957558,316.5,-0.118439769,,0.05354079,0.004453759
2006,,octubre,,203.5,0.029711706,3.687022901,-0.118169786,,0.058182884,0.007588974
2006,,noviembre,,13.76190476,0.018759602,-0.267241379,0.037066688,,0.05555047,0.009770566
2006,2006T4,diciembre,0.023894977,0.724376731,0.03039292,-0.27680798,0.116486542,,0.058864386,0.01097743
2007,,enero,,0.417400881,0.024724963,-0.116613419,0.081699067,,0.061888743,0.015044871
2007,,febrero,,0.381209503,0.028296256,-0.112929624,0.121419061,,0.061540348,0.015666025
2007,2007T1,marzo,0.024975115,0.094768016,0.008416414,0.119815668,0.229063115,,0.064800805,0.011271298
2007,,abril,,0.006653992,0.025714993,0.251177394,0.216828911,,0.060089591,0.015719151
2007,,mayo,,0.055755396,0.030661792,0.216494845,0.142331288,,0.05206975,0.017992838
2007,2007T2,junio,0.002979918,0.056239016,0.029011952,0.256013746,0.14589293,,0.054515294,0.022830651
2007,,julio,,0.05227078,0.029117199,0.294545455,0.149889787,,0.056023722,0.02348611
2007,,agosto,,0.074201898,0.032116177,0.084876543,0.146410357,,0.059727045,0.022634282
2007,2007T3,septiembre,0.040575022,0.086546701,0.013897047,0.102362205,0.277239915,,0.055920112,0.023387237
2007,,octubre,,0.051344743,0.020888172,0.140065147,0.271998285,,0.055165862,0.023634317
2007,,noviembre,,0.049193548,0.040916899,0.186554622,0.152076579,,0.05541802,0.020475162
2007,2007T4,diciembre,0.058103852,0.05060241,0.056559359,0.222413793,0.158166294,,0.049946118,0.023453787
2008,,enero,,0.052059052,0.043473792,0.157323689,0.18755443,,0.045192895,0.016988819
2008,,febrero,,0.072713057,0.042853109,0.134686347,0.167522022,,0.045634141,0.014218009
2008,2008T1,marzo,0.055789026,0.211902615,0.048473798,-0.14951989,0.150013353,,0.052692219,0.01874892
2008,,abril,,0.301227573,0.043456244,-0.242158093,0.1336621,,0.067039365,0.013154501
2008,,mayo,,0.152470187,0.042982878,-0.110169492,0.118856254,,0.064943263,0.013899614
2008,2008T2,junio,0.060097222,0.059900166,0.04524512,-0.05745554,0.068402282,,0.064795844,0.0136834
2008,,julio,,0.031758958,0.040608589,-0.014044944,0.079446219,,0.067244057,0.016782259
2008,,agosto,,0.029718876,0.033243816,-0.011379801,0.081205941,,0.061980932,0.010726143
2008,2008T3,septiembre,0.045613049,0.038643533,0.034525606,0.002857143,0.056684065,,0.055719821,0.006626455
2008,,octubre,,0.048062016,0.021647902,0.001428571,0.111620537,,0.058614325,0.007357916
2008,,noviembre,,0.043812452,0.004547661,0.005665722,0.07782766,,0.063638741,0.006349475
2008,2008T4,diciembre,-0.026929457,0.023700306,-0.01624315,-0.038081805,0.05720481,,0.068804201,0.007214395
2009,,enero,,-0.008124077,-0.026911334,-0.034375,-0.000566667,,0.073792063,0.002045513
2009,,febrero,,-0.008017493,-0.029786754,-0.004878049,-0.009185146,,0.071146565,-0.005097706
2009,2009T1,marzo,-0.042292293,0.03422619,-0.030439541,-0.033870968,0.009853034,,0.073148486,-0.007208888
2009,,abril,,0.034107402,-0.037316052,-0.029801325,-0.020815879,,0.072337566,-0.004837067
2009,,mayo,,0.072431633,-0.041040333,-0.079365079,-0.009401483,,0.073322538,-0.011762715
2009,2009T2,junio,-0.07619819,0.151491366,-0.047479701,-0.184325109,0.007510515,,0.070387213,-0.013667426
2009,,julio,,0.182320442,-0.054089504,-0.198005698,-0.019041042,,0.063236601,-0.013810526
2009,,agosto,,0.182527301,-0.045251248,-0.197122302,-0.072289919,,0.060020426,-0.01179146
2009,2009T3,septiembre,-0.085349549,0.166287016,-0.04302652,-0.203703704,-0.129750818,,0.067694786,-0.011308971
2009,,octubre,,0.139053254,-0.037049646,-0.22681883,-0.164159641,,0.060323198,-0.011501973
2009,,noviembre,,0.149484536,-0.031689513,-0.229577465,-0.123838239,,0.048530734,-0.007234794
2009,2009T4,diciembre,-0.037957898,0.163554892,-0.022188557,-0.209677419,-0.092519391,,0.040395254,-0.006067245
2010,,enero,,0.150409531,0.003098796,-0.171521036,-0.106226862,,0.048336018,-0.001275836
2010,,febrero,,0.130051433,0.007489243,-0.179738562,-0.108065157,,0.055459665,0.002818104
2010,2010T1,marzo,0.006261559,0.101438849,0.010166137,-0.18196995,-0.119053876,,0.049355771,0.005979839
2010,,abril,,0.075789474,0.025616765,-0.184300341,-0.063577728,,0.036734529,0.007589324
2010,,mayo,,0.050310131,0.026911885,-0.218965517,-0.071915519,,0.029748715,0.014728549
2010,2010T2,junio,0.065690116,0.047716428,0.030744702,-0.185053381,-0.051154623,,0.027092535,0.019929861
2010,,julio,,0.037383178,0.028791013,-0.175843694,-0.003318918,,0.031986407,0.019810435
2010,,agosto,,0.029683377,0.031449955,-0.172043011,0.097710757,,0.038969701,0.020710816
2010,2010T3,septiembre,0.061472834,0.037760417,0.032071026,-0.191413238,0.145914678,,0.030162862,0.018693982
2010,,octubre,,0.047402597,0.037998617,-0.173431734,0.182359131,,0.035106717,0.015457788
2010,,noviembre,,0.026265215,0.04383507,-0.243144424,0.187781601,,0.04288183,0.014659775
2010,2010T4,diciembre,0.084113435,0.025673941,0.049296546,-0.250463822,0.169344565,,0.045575547,0.012039
