año,periodo,mes,ITAEE,CPTPC,CPTPU,CPTEC,CPTEU,INPC,INPC2,PATRON
2004,,enero,,-0.000937866,0.001524004,0.064098306,-0.093042275,0.048586967,0.033968878,-0.015118072
2004,,febrero,,-0.001645704,0.005289112,-0.020785219,-0.09844517,0.044766243,0.033480611,-0.016130978
2004,2004T1,marzo,0.016043468,0.00791214,0.012037614,0.129109589,-0.056041471,0.041774886,0.02924281,-0.019140473
2004,,abril,,0.008744978,0.018651286,0.018962433,-0.042489868,0.047262402,0.029448019,-0.019525635
2004,,mayo,,0.015185669,0.026848404,0.096185738,-0.019208357,0.059830141,0.028043352,-0.017067308
2004,2004T2,junio,0.032684747,0.012951521,0.032102147,0.848076923,-0.022886915,0.058683507,0.026181348,-0.016049049
2004,,julio,,-0.010870836,0.032426842,0.689393939,0.008234393,0.051009369,0.031010746,-0.018427075
2004,,agosto,,-0.010632083,0.044307273,0.147332769,0.065400844,0.04980784,0.027790328,-0.016480531
2004,2004T3,septiembre,0.062865605,-0.01156407,0.038530712,0.914285714,0.101843818,0.052460019,0.037597375,-0.013267903
2004,,octubre,,-0.023432035,0.04039269,1.821256039,0.019953196,0.057078887,0.046845941,-0.015306741
2004,,noviembre,,-0.022637106,0.047985171,0.138397894,0.041235382,0.054305279,0.044473858,-0.012091493
2004,2004T4,diciembre,0.066025433,-0.01659848,0.047068978,0.139115044,0.018324972,0.049410098,0.043989847,-0.015154293
2005,,enero,,-0.013611828,0.045959068,-0.047440699,0.108066866,0.044399989,0.031607339,-0.014060725
2005,,febrero,,-0.00730013,0.047552671,0.107816712,0.123091994,0.038405405,0.029308861,-0.011706659
2005,2005T1,marzo,0.070101981,-0.014997071,0.042012806,-0.024264483,0.083052724,0.038766415,0.032120315,-0.016586883
2005,,abril,,-0.01581537,0.040941985,0.078300562,0.094724776,0.049051007,0.025098291,-0.013378131
2005,,mayo,,-0.019516186,0.041338958,0.057488654,0.099066984,0.042711192,0.034130914,-0.009568354
2005,2005T2,junio,0.076145274,-0.018416422,0.040071288,0.166493236,0.123850438,0.040251457,0.029908336,-0.010079721
2005,,julio,,0.010044907,0.037138716,-0.523168909,0.084668144,0.048019042,0.030677317,-0.007883436
2005,,agosto,,0.008738781,0.040669921,0.088560886,0.118651865,0.046218334,0.032744108,-0.004357967
2005,2005T3,septiembre,0.062421513,-0.019498936,0.047760326,0.185388845,0.113751353,0.044177619,0.027719477,0.001780561
2005,,octubre,,-0.004774979,0.048413908,-0.030251142,0.175663165,0.039206497,0.028325402,0.0091729
2005,,noviembre,,0.000238777,0.049246216,-0.00066072,0.14854919,0.036240873,0.028422977,0.011838698
2005,2005T4,diciembre,0.05952726,-0.004635683,0.04490407,0.097265382,0.151214506,0.043886758,0.031769416,0.013153813
2006,,enero,,-0.006661908,0.051413352,0.116644823,0.085967658,0.050644249,0.045972003,0.014634906
2006,,febrero,,-0.01055628,0.048044311,0.090024331,0.086597562,0.047530651,0.048150942,0.014884182
2006,2006T1,marzo,0.034188488,-0.006542167,0.043069359,0.046316444,0.158980886,0.046726507,0.045456195,0.018292872
2006,,abril,,-0.007618141,0.041043934,-0.087593618,0.129581152,0.039367893,0.03985284,0.017831713
2006,,mayo,,-0.002741359,0.046242334,-0.389842632,0.108216874,0.039148194,0.033505061,0.014197969
2006,2006T2,junio,0.021643258,-0.002987572,0.048543055,0.394290812,0.084749995,0.045222362,0.03844256,0.014563856
2006,,julio,,-0.038961039,0.058053333,1.346394984,0.098546608,0.040627521,0.032980512,0.017376248
2006,,agosto,,-0.035588855,0.051608486,0.02779661,0.0443614,0.045261298,0.03348095,0.016953332
2006,2006T3,septiembre,0.052188677,-0.007231529,0.040930115,0.094764745,0.021900907,0.045579089,0.04209513,0.010695023
2006,,octubre,,-0.005157731,0.039416312,-0.092407298,0.020063683,0.038291082,0.047113266,0.008326979
2006,,noviembre,,-0.010145619,0.032141127,-0.144132231,0.038307584,0.038205668,0.041570581,0.009902498
2006,2006T4,diciembre,0.012062756,-0.008598042,0.02923731,-0.118663268,0.060326895,0.039583156,0.041600967,0.011298916
2007,,enero,,-0.001437126,0.025950386,0.002640845,0.055240657,0.036698796,0.035602076,0.014086236
2007,,febrero,,-0.020738432,0.03140206,-0.073381696,0.047026099,0.041298184,0.03881138,0.014574231
2007,2007T1,marzo,0.035437144,-0.017001916,0.031722764,-0.013963161,0.003492789,0.04643799,0.03865447,0.01254453
2007,,abril,,-0.022070289,0.035626587,0.165952891,0.013887156,0.04535365,0.03770631,0.015816047
2007,,mayo,,-0.024261982,0.026575715,0.256154748,0.021535293,0.04290882,0.035175481,0.018320704
2007,2007T2,junio,0.038331511,-0.034759679,0.024048025,0.015994882,0.002337483,0.043383948,0.034740371,0.021349716
2007,,julio,,-0.01156562,0.023558747,0.064128257,-0.001257483,0.045824942,0.038550508,0.019632275
2007,,agosto,,-0.005705268,0.018197276,0.162269129,0.008526229,0.041794992,0.036322053,0.019398642
2007,2007T3,septiembre,0.007659224,-0.003399296,0.024539802,0.115617433,-0.001349201,0.041728713,0.028619034,0.018131652
2007,,octubre,,-0.011574632,0.021472243,0.818417639,0.052461988,0.048974239,0.029125805,0.016576925
2007,,noviembre,,-0.012420113,0.020882043,0.019312476,0.052991106,0.054960713,0.031046925,0.013878413
2007,2007T4,diciembre,0.046989317,-0.019392917,0.025183485,-0.021208226,0.062219731,0.052396422,0.030864976,0.014351894
2008,,enero,,-0.025905493,0.029103618,0.067310506,0.031045157,0.051975966,0.032500838,0.012074809
2008,,febrero,,-0.010527604,0.020692006,0.100572117,0.051849871,0.048169338,0.028021001,0.00770945
2008,2008T1,marzo,0.063645533,-0.015347138,0.024037333,0.114191021,0.028742128,0.044585885,0.038878676,0.008089009
