año,periodo,mes,ITAEE,CPTPC,CPTPU,CPTEC,CPTEU,INPC,PATRON
2004,,enero,,-0.203445447,0.021245164,-0.4,-0.074745713,0.028138445,0.000450479
2004,,febrero,,-0.215330723,0.02132437,-0.2,-0.07640424,0.028956145,-0.007794531
2004,2004T1,marzo,0.061597206,-0.196526895,0.030660508,3.333333333,0.045929406,0.026861586,-0.003965969
2004,,abril,,-0.184595243,0.029636111,-0.5,0.034544054,0.026557948,-0.000957854
2004,,mayo,,-0.1854083,0.028922688,0.25,0.070185467,0.025356972,-0.001022038
2004,2004T2,junio,0.057526665,-0.179651696,0.018881334,5.727272727,0.01062417,0.032060716,-0.000893484
2004,,julio,,-0.180841121,0.022048222,3.392857143,-0.046751143,0.038629661,-0.004659773
2004,,agosto,,-0.170522299,0.028414219,8.615384615,-0.057301185,0.046496209,-0.005861366
2004,2004T3,septiembre,0.029115301,-0.164685908,0.029760237,4.409090909,-0.074746269,0.049758385,-0.01086128
2004,,octubre,,-0.168834356,0.030325105,6.590909091,-0.11669506,0.054382195,-0.013997087
2004,,noviembre,,-0.174528302,0.033919547,70,-0.043143297,0.055592434,-0.006978367
2004,2004T4,diciembre,0.035487156,-0.178123432,0.034222921,99,-0.00293182,0.052738922,-0.006578947
2005,,enero,,-0.171730175,0.034418849,239,0.022049124,0.053444059,-0.002122733
2005,,febrero,,-0.172268908,0.035907599,259.25,0.010800859,0.054350754,0.00386349
2005,2005T1,marzo,0.046285211,-0.184765419,0.027931539,83.53846154,-0.023877069,0.055039248,0.003018432
2005,,abril,,-0.194541076,0.028391546,277.25,0.015234822,0.051760474,-0.000383509
2005,,mayo,,-0.197480142,0.031010062,101.7,0.026529764,0.053730981,0.000319714
2005,2005T2,junio,0.050601969,-0.209497207,0.03078502,6.310810811,0.079620117,0.051765276,0.002618972
2005,,julio,,-0.219053052,0.021333038,1.048780488,0.052382398,0.052408613,0.005964215
2005,,agosto,,-0.231167338,0.016755691,1.728,0.11187543,0.044733363,0.00679313
2005,2005T3,septiembre,0.030664236,-0.245644599,0.00712192,1.361344538,0.159052781,0.041347249,0.006164516
2005,,octubre,,-0.248892826,0.009208585,0.095808383,0.195499839,0.034892102,0.007322713
2005,,noviembre,,-0.23037594,0.01047236,-0.058685446,0.148505994,0.031859207,0.001980451
2005,2005T4,diciembre,0.058595548,-0.234737485,0.017277324,-0.104,0.111423924,0.037720827,0.003536295
2006,,enero,,-0.24712465,0.018970415,-0.051388889,0.058328211,0.04626589,0.004705731
2006,,febrero,,-0.245875635,0.015004336,-0.016330451,0.048327363,0.048545229,0.005965362
2006,2006T1,marzo,0.030966949,-0.234076948,0.015282127,-0.068243858,0.121034149,0.043561038,0.01120502
2006,,abril,,-0.259800664,0.009604943,0.034141959,0.06837414,0.044831548,0.012468828
2006,,mayo,,-0.251535836,0.010894468,0.137293087,0.137546253,0.042228037,0.016428024
2006,2006T2,junio,0.03993162,-0.249823322,0.012266924,0.033271719,0.133499308,0.037156833,0.014462283
2006,,julio,,-0.243973703,0.01490223,0.115079365,0.20129196,0.025382763,0.014726508
2006,,agosto,,-0.242333583,0.022256131,0.240469208,0.184364454,0.030408493,0.015404201
2006,2006T3,septiembre,0.077216745,-0.250192456,0.026595675,0.40569395,0.181484162,0.037070754,0.020039569
2006,,octubre,,-0.23663522,0.022750861,1.207650273,0.15062379,0.044249157,0.028121413
2006,,noviembre,,-0.277842907,0.018444098,0.174563591,0.089785533,0.041648069,0.029775567
2006,2006T4,diciembre,0.045617129,-0.264459513,0.014040816,0.205357143,0.09687588,0.042939346,0.029536135
2007,,enero,,-0.272089182,0.012900404,-0.064421669,0.153319008,0.036997663,0.027332221
2007,,febrero,,-0.286495583,0.017586192,-0.290039063,0.173799734,0.037107045,0.025441561
2007,2007T1,marzo,0.049701837,-0.297593921,0.01944069,-0.225585938,0.125195787,0.040910352,0.023744697
2007,,abril,,-0.261669659,0.025433789,-0.544743701,0.116221354,0.037290852,0.029177719
2007,,mayo,,-0.268125855,0.024849121,-0.458047945,0.073290978,0.034066346,0.027985661
2007,2007T2,junio,0.034339587,-0.280734809,0.023670226,-0.082289803,0.087319406,0.03739779,0.027193368
2007,,julio,,-0.276811594,0.026114309,0.971530249,0.072018437,0.048540277,0.02795753
2007,,agosto,,-0.273938796,0.024530877,0.598108747,0.070139614,0.047678346,0.026830491
2007,2007T3,septiembre,0.017455842,-0.271560575,0.022579208,0.729113924,0.049050558,0.043198623,0.02095977
2007,,octubre,,-0.285272915,0.027475106,0.903465347,0.070804318,0.036964147,0.018544936
2007,,noviembre,,-0.26461039,0.029035013,0.605095541,0.091870771,0.037181093,0.01386911
2007,2007T4,diciembre,0.024787046,-0.268980477,0.027129287,0.475925926,0.056810017,0.031477334,0.01493559
2008,,enero,,-0.254679524,0.02077238,0.458528951,0.038068382,0.032138382,0.017549338
2008,,febrero,,-0.208136792,0.020155608,0.232462173,0.021758437,0.031648184,0.015607512
2008,2008T1,marzo,0.038914059,-0.205528846,0.020421008,-0.037831021,-0.001824029,0.035433611,0.01193716
2008,,abril,,-0.188449848,0.020824453,0.09351145,-0.006764748,0.043074546,0.011413844
2008,,mayo,,-0.168224299,0.018628496,-0.483412322,-0.005161718,0.055312775,0.011745993
2008,2008T2,junio,0.018102103,-0.120497708,0.022482332,-0.407407407,-0.024150469,0.059473216,0.016202005
2008,,julio,,-0.090180361,0.020423995,-0.465703971,-0.022303834,0.056756779,0.018212932
2008,,agosto,,-0.057104011,0.019298012,-0.545857988,-0.063279343,0.055375547,0.015873016
2008,2008T3,septiembre,0.007766492,-0.03030303,0.020760786,-0.464128843,-0.116510959,0.054492937,0.023164604
2008,,octubre,,-0.020893372,0.017493611,-0.521456437,-0.117842179,0.05553041,0.02033857
2008,,noviembre,,0.00147167,0.015342477,-0.391534392,-0.125425504,0.067437869,0.024122137
2008,2008T4,diciembre,-0.022105777,-0.00148368,0.017948115,-0.243412798,-0.121060555,0.070273312,0.026733705
2009,,enero,,0.031202435,0.013733745,-0.290772532,-0.131506185,0.066926279,0.026207574
2009,,febrero,,-0.007446016,0.006030201,-0.271205357,-0.147134096,0.067062925,0.024673973
2009,2009T1,marzo,-0.040647214,0.017397882,-0.000538651,-0.076015727,-0.126184179,0.069900777,0.023103722
2009,,abril,,0.012734082,-0.008392387,0.038394415,-0.151171652,0.072673274,0.016866885
2009,,mayo,,0.020224719,-0.009481211,-0.293577982,-0.161938309,0.059900179,0.012939896
2009,2009T2,junio,-0.022619571,0.014147431,-0.014693917,-0.328947368,-0.156032936,0.056523395,0.012694784
2009,,julio,,-0.000734214,-0.009703103,-0.304054054,-0.094548786,0.053677517,0.007803121
2009,,agosto,,0.015140591,-0.01196563,-0.325732899,-0.057795253,0.056419513,0.009855769
2009,2009T3,septiembre,-0.019927112,0.020348837,-0.016097618,-0.43989071,-0.017183528,0.060953433,0.010301869
2009,,octubre,,0.035320088,-0.014519482,-0.22826087,-0.021670295,0.058303993,0.011876343
2009,,noviembre,,0.046289493,-0.010109998,-0.130434783,-0.021506986,0.048439919,0.010494931
2009,2009T4,diciembre,0.004393518,0.063893016,-0.006884898,-0.167495854,0.019834254,0.044942656,0.011167513
2010,,enero,,0.058302583,0.003179266,-0.098335855,0.030719392,0.055214044,0.009748804
2010,,febrero,,0.062265566,0.013969684,-0.026033691,0.08153097,0.055725208,0.010217495
2010,2010T1,marzo,0.033400177,0.059479554,0.019299047,-0.214184397,0.128006164,0.05347886,0.019654699
2010,,abril,,0.047337278,0.029638468,-0.166386555,0.146897093,0.045820083,0.018615752
2010,,mayo,,0.054331865,0.028637471,0.268398268,0.202090197,0.046243498,0.018803725
