ano,periodo,mes,ITAEE,CPTPC,CPTPU,CPTEC,CPTEU,INPC,INPC2,PATRON
2004,,enero,,-0.130350195,-0.024506904,0.146341463,0.066218756,0.038884613,,-0.006396957
2004,,febrero,,-0.144149968,-0.023863469,0.025,0.049593547,0.04635271,,-0.007090563
2004,2004T1,marzo,0.013668329,-0.141092328,-0.016148664,-0.715189873,0.04405192,0.041535094,,-0.002496831
2004,,abril,,-0.118404118,-0.012728972,-0.676136364,0.054618297,0.043394844,,1.93E-05
2004,,mayo,,-0.10295082,-0.008276807,-0.101694915,0.052702883,0.046495041,,0.003879785
2004,2004T2,junio,0.012216344,-0.071718539,-0.003703716,-0.066666667,0.060728254,0.046400986,,0.002987146
2004,,julio,,-0.062965471,0.000389661,-0.152542373,0.072294235,0.047840397,,0.003259528
2004,,agosto,,-0.083501684,0.00613025,-0.133333333,0.089409473,0.045201629,,0.004842288
2004,2004T3,septiembre,0.015220794,-0.068259386,0.010849765,-0.301369863,0.065906413,0.049434153,,0.003765031
2004,,octubre,,-0.06142167,0.01242753,-0.323943662,0.075937883,0.050934109,,0.002184368
2004,,noviembre,,-0.052484255,0.015695784,-0.333333333,0.104208333,0.053651281,,0.005681055
2004,2004T4,diciembre,0.055967431,-0.07106599,0.017788263,-0.338235294,0.107207066,0.050802517,,0.006507133
2005,,enero,,-0.072334079,0.018453474,0.021276596,0.084047548,0.042512286,,0.007056822
2005,,febrero,,-0.07326284,0.022826423,0.146341463,0.085321887,0.03965045,,0.009521598
2005,2005T1,marzo,0.016775756,-0.070401211,0.013550812,0.044444444,0.05161792,0.043375556,,0.003754621
2005,,abril,,-0.103649635,0.01485422,0.01754386,0.070074224,0.040287185,,0.005680505
2005,,mayo,,-0.102339181,0.005720124,0.188679245,0.091187726,0.041362351,,0.008633287
2005,2005T2,junio,0.007932226,-0.104227405,0.004943116,0.035714286,0.085346951,0.038314987,,0.010068404
2005,,julio,,-0.10982659,0.002330302,0.18,0.072899263,0.041541528,,0.010285099
2005,,agosto,,-0.099191771,0.004053313,0.25,0.072876174,0.03817939,,0.012440963
2005,2005T3,septiembre,0.033901115,-0.118681319,0.003547271,1.607843137,0.062652486,0.037838869,,0.012094768
2005,,octubre,,-0.119852941,0.006733019,3.354166667,0.0712468,0.033591334,,0.014167447
2005,,noviembre,,-0.116691285,0.005740339,3.608695652,0.069831327,0.02782898,,0.014714021
2005,2005T4,diciembre,0.035327969,-0.174863388,0.007753634,3.511111111,0.092163443,0.032596105,,0.014594212
2006,,enero,,-0.163987138,0.011822702,2.854166667,0.097473593,0.039024478,,0.017700814
2006,,febrero,,-0.155664222,0.011889833,8.170212766,0.11014452,0.031999928,,0.017790047
2006,2006T1,marzo,0.064401895,-0.180781759,0.023376253,8.127659574,0.192453321,0.026847313,,0.020410121
2006,,abril,,-0.171824104,0.021069692,6.568965517,0.1723468,0.024941599,,0.017691998
2006,,mayo,,-0.187296417,0.033755926,5.761904762,0.185857943,0.019660735,,0.013096441
2006,2006T2,junio,0.064139881,-0.2091131,0.040028095,6.431034483,0.176941463,0.02596286,,0.013201948
2006,,julio,,-0.164772727,0.044269386,6.898305085,0.217372386,0.02475265,,0.01548942
2006,,agosto,,-0.144371941,0.044137689,16.43076923,0.198889972,0.02676652,,0.016137596
2006,2006T3,septiembre,0.031777188,0.12635079,0.047084541,5.796992481,0.19215223,0.031093253,,0.015731952
2006,,octubre,,0.130325815,0.048237395,4.09569378,0.184562473,0.035509015,,0.01666541
2006,,noviembre,,0.007525084,0.049656451,4.721698113,0.168039899,0.035158779,,0.015102501
2006,2006T4,diciembre,0.028170304,0.145695364,0.050159479,4.871921182,0.158060065,0.034941257,,0.015194933
2007,,enero,,0.191346154,0.050762893,5.540540541,0.133022778,0.034251379,,0.017185437
2007,,febrero,,0.194015444,0.051995162,1.819025522,0.123006625,0.037242218,,0.020116025
