año,periodo,mes,ITAEE,CPTPC,CPTPU,CPTEC,CPTEU,INPC,PATRON
2004,,enero,,0.230478441,0.028151208,0.349601126,0.153344209,0.033719461,0.017534704
2004,,febrero,,0.220156324,0.031383102,0.068623983,0.210714778,0.039762714,0.016055046
2004,2004T1,marzo,0.152695966,0.058665565,0.035644583,0.30033557,0.223055747,0.037577369,0.011784164
2004,,abril,,0.063376623,0.032478239,0.21037182,0.20192752,0.033020265,0.005214191
2004,,mayo,,0.074210526,0.035744576,-0.713026445,0.086511343,0.033489535,-0.005768647
2004,2004T2,junio,0.163518431,0.10021645,0.054794033,-0.55704698,0.029508746,0.034942669,0.000101
2004,,julio,,0.095823352,0.044702223,4.326530612,0.080898876,0.045437634,0.020873836
2004,,agosto,,0.096222083,0.049706444,1.831395349,0.071775942,0.048390316,0.024033545
2004,2004T3,septiembre,0.097987418,0.10396402,0.041645208,2.264900662,0.123302752,0.052330204,0.024821246
2004,,octubre,,0.105428631,0.042631838,2.92481203,0.058479864,0.063880789,0.022079772
2004,,noviembre,,0.051352896,0.020368327,1.617834395,0.160215796,0.067487606,0.022276225
2004,2004T4,diciembre,0.150102267,0.051590714,0.025405691,0.22251773,0.100142506,0.066959839,0.025528439
2005,,enero,,0.041282642,0.050691005,0.333449235,0.085337105,0.058465127,0.031490409
2005,,febrero,,0.053867805,0.053720151,0.320754717,0.06250711,0.053301843,0.032423558
2005,2005T1,marzo,0.060635113,-0.050341463,0.049613678,0.004903226,0.029598785,0.055108382,0.025643645
2005,,abril,,-0.046311676,0.048901939,-0.036108866,0.031469684,0.061478556,0.020951993
2005,,mayo,,-0.022537972,0.047766083,2.648464164,0.090006207,0.063478871,0.025142508
2005,2005T2,junio,0.016799019,-0.026264017,0.04465672,17.1969697,0.093914554,0.059195779,0.021914765
2005,,julio,,-0.05988024,0.055501377,-0.243295019,0.07756277,0.050169727,0.009020748
2005,,agosto,,-0.058929931,0.069227602,0.020533881,0.104854581,0.0454496,0.008788575
2005,2005T3,septiembre,0.046534978,-0.066508764,0.071657517,-0.070993915,0.073940978,0.041723254,0.004784212
2005,,octubre,,-0.068259386,0.067562549,-0.078544061,0.134933819,0.031774474,0.003484321
2005,,noviembre,,-0.055097417,0.063311985,0.525547445,0.198810489,0.025027539,-0.002575277
2005,2005T4,diciembre,0.032010675,-0.047060961,0.058303858,-0.09173314,0.162329251,0.03216261,-0.003285871
2006,,enero,,-0.029872764,0.056420907,-0.204172099,0.193907472,0.039456634,0.002585521
2006,,febrero,,-0.033339473,0.055310496,-0.156892231,0.237460521,0.040211035,0.001391373
2006,2006T1,marzo,0.007141001,-0.021573865,0.071163922,-0.16153056,0.251407335,0.032017896,0.006972806
2006,,abril,,-0.025714578,0.075384288,-0.123846799,0.222245887,0.027499434,0.00348675
2006,,mayo,,-0.047318296,0.084029372,-0.321172435,0.202733485,0.029245758,0.00575911
2006,2006T2,junio,0.048328268,-0.039094858,0.084380755,-0.554537885,0.178750434,0.031701794,0.006225912
2006,,julio,,-0.08442018,0.095732093,0.207594937,0.141238745,0.029569192,0.009337439
2006,,agosto,,-0.079210926,0.078946102,0.058350101,0.159574468,0.035616723,0.011583012
2006,2006T3,septiembre,0.024959364,-0.069420481,0.068822884,0.080786026,0.168272156,0.043514298,0.013788315
2006,,octubre,,-0.062372812,0.075558226,0.885654886,0.118183106,0.046469041,0.02390873
2006,,noviembre,,-0.091301429,0.08742041,0.312599681,0.004059174,0.042204359,0.028798411
2006,2006T4,diciembre,0.004516101,-0.030984841,0.076039542,-0.317365269,-0.062813434,0.040290102,0.032567433
2007,,enero,,-0.024710131,0.062503901,-0.024246396,-0.048619639,0.042512954,0.023507241
2007,,febrero,,-0.022961128,0.061532724,-0.069857313,-0.086473158,0.041302473,0.034041286
2007,2007T1,marzo,-0.024493567,-0.025934481,0.042010148,-0.006125574,-0.05419924,0.046240474,0.033732318
2007,,abril,,-0.023133544,0.039411192,0.037970645,-0.076148987,0.047387256,0.043482577
2007,,mayo,,-0.024834263,0.055947732,0.01010565,-0.111139807,0.041483169,0.034949156
2007,2007T2,junio,-0.04751471,-0.024285114,0.060919831,0.300934579,-0.111649055,0.043677191,0.032115498
2007,,julio,,-0.052230565,0.070267312,-0.025157233,-0.113615675,0.04898345,0.03661057
2007,,agosto,,-0.076137113,0.067845511,0.243346008,-0.133987625,0.04584736,0.02887062
2007,2007T3,septiembre,0.028528998,-0.079397971,0.064034056,0.381818182,-0.141257649,0.04224583,0.024266145
2007,,octubre,,-0.076939772,0.055959067,-0.202866593,-0.096824593,0.039796581,0.018796628
2007,,noviembre,,-0.059525066,0.05910026,0.238153098,-0.053993352,0.045708771,0.01515444
2007,2007T4,diciembre,0.024525652,-0.1315427,0.077767732,-0.150877193,-0.039187071,0.044093765,0.008223684
2008,,enero,,-0.119080101,0.104173397,0.002350571,-0.058514198,0.044651428,0.014827018
2008,,febrero,,-0.102389078,0.095058259,0.117929051,0.000947059,0.044583712,0.007006431
2008,2008T1,marzo,0.087612622,-0.019187237,0.10503919,0.010169492,-0.077899889,0.047765881,0.000191388
2008,,abril,,-0.013993541,0.116621022,0.007685214,-0.026217758,0.053137398,-0.001522215
2008,,mayo,,-0.000971188,0.091515539,-0.189176899,0.003292978,0.057636071,0.003624917
2008,2008T2,junio,0.105435925,-0.059260856,0.089622244,-0.018678161,0.001658689,0.06028277,0.007517366
2008,,julio,,-0.001980659,0.076877358,0.455913978,0.067488263,0.061330887,0.014715656
2008,,agosto,,-0.182899275,0.076487055,0.24617737,0.052525253,0.063310194,0.018263103
2008,2008T3,septiembre,0.055050418,-0.170477432,0.081429671,0.214912281,0.045279968,0.060824006,0.024359954
2008,,octubre,,-0.173407007,0.077039822,0.106500692,-0.034129693,0.061020993,0.021398003
2008,,noviembre,,-0.209628549,0.051537009,-0.263984298,-0.050759734,0.065948803,0.025577636
2008,2008T4,diciembre,0.043730223,-0.035232808,0.042024652,-0.018595041,-0.006750675,0.071580072,0.03531331
2009,,enero,,-0.041482301,0.022036919,-0.319932998,-0.043972784,0.065371947,0.027119939
2009,,febrero,,-0.050733297,0.027670098,-0.257575758,-0.119973507,0.065319096,0.030308807
2009,2009T1,marzo,-0.016261899,-0.068139356,0.014794818,-0.167480171,-0.055786469,0.065763963,0.039226942
2009,,abril,,-0.080021834,0.001285347,-0.24100061,-0.090891482,0.068315484,0.027155788
2009,,mayo,,-0.056167639,-0.013604556,-0.171620864,-0.157592432,0.067538794,0.02423724
2009,2009T2,junio,-0.062194149,-0.013285992,-0.012591504,0.108345534,-0.13432059,0.065170459,0.018889309
2009,,julio,,-0.00198459,-0.014349707,0.341211226,-0.132215503,0.05995482,0.011040419
2009,,agosto,,0.272594964,-0.012769261,0.506748466,-0.166705679,0.054510542,0.010182158
2009,2009T3,septiembre,-0.091869815,-0.01171094,-0.009701705,0.478941035,-0.15644943,0.053542565,0.011284156
2009,,octubre,,0.116910823,-0.001990873,0.63125,-0.111331623,0.047629686,0.013780261
2009,,noviembre,,0.100099389,0.005490176,0.536,-0.028312741,0.044025902,0.012887076
2009,2009T4,diciembre,-0.043288924,-0.048614373,0.01169902,0.049824561,0.046669687,0.040268309,0.007971082
2010,,enero,,-0.035891518,0.02524431,0.218719212,0.069471001,0.047224699,0.014689476
2010,,febrero,,-0.039368276,0.032167014,0.086638429,0.066444468,0.054712177,0.013691027
2010,2010T1,marzo,0.010283706,-0.012265597,0.03876899,0.106998901,0.035481305,0.053334976,0.006720678
2010,,abril,,0.014358609,0.036244793,0.211414791,0.005326515,0.040616297,0.01567718
2010,,mayo,,-0.037880522,0.053279609,1.060257278,0.086117,0.037064141,0.017446177
2010,2010T2,junio,0.055435672,-0.062449216,0.048906872,1.639365918,0.059080724,0.032707871,0.013255469
2010,,julio,,-0.050532226,0.047686638,0.265418502,0.019902861,0.039220454,0.010457153
2010,,agosto,,-0.087374199,0.054568328,-0.17019544,0.002977528,0.040852905,0.012668763
2010,2010T3,septiembre,0.08466705,0.202890173,0.052719578,-0.052888527,-0.000917011,0.04082053,0.009774991
2010,,octubre,,0.079078059,0.050479928,-0.131034483,-0.008279318,0.0463812,0.004224835
2010,,noviembre,,0.172947858,0.053085976,0.020833333,-0.036859717,0.045593093,0.001647597
2010,2010T4,diciembre,0.057620933,0.131819304,0.052595102,0.526737968,-0.018506494,0.0434945,0.002114943
2011,,enero,,0.120062246,0.039929432,0.187550525,-0.044100119,0.041476273,-0.007146784
2011,,febrero,,0.101501072,0.040086701,0.152019844,-0.013055752,0.039969829,-0.007118087
2011,2011T1,marzo,0.037021045,0.122626866,0.035564538,0.122476001,-0.006299939,0.03582455,-0.009327846
2011,,abril,,0.033926065,0.045835493,0.112475116,0.026332521,0.039616418,-0.010229245
2011,,mayo,,0.058165814,0.038342866,-0.109102859,0.021523528,0.039666679,-0.010944911
2011,2011T2,junio,0.03492554,0.106722793,0.032577586,-0.305305305,-0.038703685,0.042440535,-0.010063123
2011,,julio,,0.101145744,0.035498105,0.173194082,-0.023551944,0.040576556,-0.011997436
2011,,agosto,,0.17481203,0.03389999,0.350343474,0.028958718,0.039354423,-0.019176331
2011,2011T3,septiembre,0.01986084,0.111965401,0.030337999,0.302405498,0.012792565,0.034330835,-0.0256621
2011,,octubre,,0.105263158,0.020864161,0.276014109,-0.001482946,0.036363304,-0.033565027
2011,,noviembre,,0.032570423,0.028925922,0.130952381,-0.001015554,0.036629223,-0.035365074
2011,2011T4,diciembre,0.027935977,0.035768811,0.027556271,-0.310858144,-0.008766126,0.039698468,-0.030189026
2012,,enero,,0.030565352,0.021138708,0.097345133,-0.03283458,0.040976426,-0.032576597
2012,,febrero,,0.051049102,0.021990937,0.076899416,-0.007201594,0.03799757,-0.040165441
2012,2012T1,marzo,-0.026679959,0.05807275,0.037822308,0.105573577,0.012473584,0.038770476,-0.033139481
2012,,abril,,-0.010749038,0.028996193,0.137787056,0.047338805,0.03914109,-0.03285042
2012,,mayo,,-0.005732914,0.028483421,0.164146072,0.051074158,0.040508882,-0.036149023
2012,2012T2,junio,-0.002339446,-0.007383376,0.034104604,0.521613833,0.114558729,0.04482745,-0.028555586
2012,,julio,,0.001566346,0.031580464,0.646884273,0.112277354,0.043925491,-0.029940675
2012,,agosto,,-0.059626667,0.032151442,0.495639535,0.085302123,0.044341158,-0.026440741
2012,2012T3,septiembre,0.00718399,-0.022796024,0.031540157,0.232189974,0.113565562,0.047575175,-0.020058112
2012,,octubre,,-0.01793722,0.04111707,0.148583276,0.157205721,0.042220881,-0.00870635
2012,,noviembre,,-0.00415601,0.039459799,0.169172932,0.175334403,0.041599876,-0.006820765
2012,2012T4,diciembre,0.02541421,0.004843125,0.015330944,0.4841169,0.164080316,0.037438728,-0.012678588
2013,,enero,,0.002592554,0.017055709,0.016129032,0.153953588,0.035059868,-0.007917581
