año,periodo,mes,ITAEE,CPTPC,CPTPU,CPTEC,CPTEU,INPC,PATRON
2004,,enero,,-0.046252532,0.004613809,-0.043394407,-0.076179493,0.032194252,0.01185111
2004,,febrero,,-0.046566693,0.010118326,-0.05080176,-0.048539066,0.037681272,0.007258422
2004,2004T1,marzo,0.040037485,-0.045166403,0.020356918,-0.010020331,-0.02253569,0.035634249,0.01020915
2004,,abril,,-0.042243925,0.02165673,-0.107732788,0.005201428,0.04299553,0.009468237
2004,,mayo,,-0.039530645,0.020957267,0.037013536,0.017810994,0.049720166,0.012383731
2004,2004T2,junio,0.07568355,-0.040625357,0.020385957,-0.137795276,0.00919919,0.050530008,0.016801186
2004,,julio,,0.01255376,0.025513054,-0.277899344,0.031945159,0.053093063,0.022901606
2004,,agosto,,0.015389997,0.031819778,-0.177419355,0.062623712,0.054332106,0.0269267
2004,2004T3,septiembre,0.039385459,0.014935823,0.031905191,-0.15284128,0.040438657,0.056523904,0.022624434
2004,,octubre,,0.018379771,0.034183827,-0.082488168,0.068183383,0.060558591,0.016239644
2004,,noviembre,,0.018533724,0.042846859,2.00464846,0.122379843,0.062416178,0.013563569
2004,2004T4,diciembre,0.079365865,0.018267531,0.043757746,0.622205846,0.135747126,0.061385258,0.014245795
2005,,enero,,0.020766962,0.051205184,0.165490591,0.103535632,0.053802939,0.014461674
2005,,febrero,,0.023060549,0.050014561,0.092390492,0.115794366,0.050512609,0.020078112
2005,2005T1,marzo,0.067722085,0.02667457,0.043162892,-0.00073346,0.064992871,0.050712134,0.014858516
2005,,abril,,0.025729191,0.045732904,0.049803408,0.065002706,0.053337176,0.011397099
2005,,mayo,,0.025382517,0.048636804,-0.318580461,0.104755696,0.052401061,0.013537023
2005,2005T2,junio,0.022680449,0.022243369,0.049624284,0.142694064,0.112581205,0.048007305,0.007235812
2005,,julio,,0.016875215,0.048588248,0.348484848,0.060949281,0.049212418,0.005664653
2005,,agosto,,0.015616029,0.05425959,0.134238311,0.066448277,0.045341064,0.009981117
2005,2005T3,septiembre,0.038860107,0.013336399,0.052716131,-0.00693909,0.105401845,0.044562084,0.012087201
2005,,octubre,,0.0070123,0.056933746,-0.071481209,0.123731271,0.040411773,0.014738433
2005,,noviembre,,0.005528043,0.055903628,-0.660027074,0.124724895,0.036492233,0.013167088
2005,2005T4,diciembre,0.03684127,0.010648148,0.053593837,-0.476983646,0.102385049,0.036771716,0.015558317
2006,,enero,,0.010865796,0.055177877,-0.236990053,0.092956716,0.044423247,0.021301968
2006,,febrero,,0.018032597,0.058291054,-0.215957301,0.093460639,0.046997436,0.02297239
2006,2006T1,marzo,0.038111799,0.013048499,0.064367312,-0.154873752,0.135603735,0.044198846,0.027451825
2006,,abril,,0.011212577,0.064625673,-0.269506866,0.106922833,0.042489717,0.031595406
2006,,mayo,,0.012955466,0.063338129,-0.37623466,0.080224866,0.038869475,0.026229684
2006,2006T2,junio,0.071060756,0.015243193,0.068882903,-0.076923077,0.084344716,0.040870927,0.031362247
2006,,julio,,-0.036238429,0.069769638,-0.078651685,0.113142571,0.036209479,0.030631404
2006,,agosto,,-0.034821933,0.060874406,-0.033244681,0.079804855,0.040294995,0.030715812
2006,2006T3,septiembre,0.049935066,-0.027796687,0.06004425,0.142857143,0.065464839,0.043867261,0.029643847
2006,,octubre,,-0.028652968,0.057763441,0.088095238,0.043784946,0.046295415,0.03011279
2006,,noviembre,,-0.035391135,0.05041971,-0.248009101,0.047465966,0.0415389,0.025673669
2006,2006T4,diciembre,0.025863721,-0.037906551,0.048655013,-0.426462073,0.039200685,0.040795806,0.023671472
2007,,enero,,-0.037049743,0.04267846,-0.131872284,0.053209948,0.040049849,0.020592294
2007,,febrero,,-0.043715227,0.037553149,-0.036655612,0.075832161,0.041341362,0.017712177
2007,2007T1,marzo,0.025924726,-0.038641286,0.035811994,0.025881536,0.014721527,0.041494869,0.015926236
2007,,abril,,-0.037037037,0.035140392,0.23136082,0.030381272,0.039386345,0.013014164
2007,,mayo,,-0.041452552,0.034085515,1.524952015,0.034330075,0.036975685,0.017719005
2007,2007T2,junio,0.008672676,-0.040687679,0.032148967,0.077922078,0.021821257,0.039604295,0.016269883
2007,,julio,,-0.021318965,0.032850195,0.032520325,-0.002503094,0.041782541,0.02206954
2007,,agosto,,-0.023544571,0.032657057,0.025447043,0.007083891,0.042669851,0.019797875
2007,2007T3,septiembre,0.012914167,-0.054031976,0.029102636,0.108016304,0.033643762,0.035531096,0.018485915
2007,,octubre,,-0.046421436,0.028705474,0.314369074,0.068924784,0.03233306,0.016888751
2007,,noviembre,,-0.045594871,0.03163668,0.548411498,0.05019882,0.03976613,0.022186595
2007,2007T4,diciembre,0.040196913,-0.049398881,0.031771896,1,0.078476987,0.039948145,0.021305342
2008,,enero,,-0.043106519,0.032945982,0.27312296,0.066273592,0.038466589,0.022568903
2008,,febrero,,-0.045832344,0.033811797,0.088240623,0.019637215,0.035649241,0.020304569
2008,2008T1,marzo,0.03863741,-0.044225753,0.032044992,0.143752116,0.017539883,0.040739531,0.011757426
2008,,abril,,-0.048670465,0.029521408,0.188931298,0.007740283,0.042691669,0.013104943
2008,,mayo,,-0.043245175,0.025733859,0.018244014,0.018541169,0.050637348,0.009193159
2008,2008T2,junio,0.039255508,-0.046714456,0.027198472,1.057228916,0.011312217,0.052043854,0.006802721
2008,,julio,,-0.052184321,0.027126234,0.698425197,0.030027913,0.054289794,0.004430638
2008,,agosto,,-0.050983685,0.024535948,0.402414487,0.016615896,0.054610564,0.003404991
2008,2008T3,septiembre,0.032813969,-0.026400197,0.021952744,0.25812385,0.006493506,0.057641515,0.001525243
2008,,octubre,,-0.270396845,0.021245059,0.190899001,-0.031148004,0.055483871,0.003606074
2008,,noviembre,,-0.240482707,0.009887012,0.06790425,-0.058751779,0.056175474,0.001416646
2008,2008T4,diciembre,-0.02245474,-0.213122965,0.003624262,-0.111559818,-0.076725644,0.057937989,0.004630101
2009,,enero,,-0.005460412,-0.008744767,-0.121709402,-0.074487694,0.056388452,-0.001322213
