ano,periodo,mes,ITAEE,CPTPC,CPTPU,CPTEC,CPTEU,INPC,PATRON
2004,,enero,,-0.03547497,-0.002997569,-0.106666667,0.007633802,0.039790404,-0.009501146
2004,,febrero,,-0.046401888,-0.002555685,-0.29122807,0.005212811,0.041632622,-0.01059899
2004,2004T1,marzo,0.040039483,-0.039504717,0.002595653,-0.124590164,0.033505364,0.039516615,-0.01183708
2004,,abril,,-0.030206677,0.005446497,-0.24535316,0.039603426,0.039694045,-0.012644234
2004,,mayo,,-0.031055901,0.012943804,-0.288888889,0.058931044,0.040441388,-0.014595518
2004,2004T2,junio,0.060930127,-0.030725692,0.01543804,-0.188841202,0.060239665,0.039773433,-0.009908523
2004,,julio,,-0.034754496,0.017230723,0.07860262,0.03209155,0.038500767,-0.008669418
2004,,agosto,,-0.039837398,0.022029305,-0.012145749,0.070806217,0.042557038,-0.00554368
2004,2004T3,septiembre,0.056086539,-0.04004065,0.022672759,-0.059090909,0.067912453,0.041779882,-0.005431377
2004,,octubre,,-0.049033571,0.019793077,-0.106299213,0.058871471,0.042782615,-0.010194689
2004,,noviembre,,-0.052739585,0.025934582,-0.211618257,0.09748796,0.042616563,-0.00756943
2004,2004T4,diciembre,0.070982633,-0.05623069,0.022136031,-0.223744292,0.08512949,0.040638417,-0.007878693
2005,,enero,,-0.06906416,0.026966669,-0.189054726,0.092123221,0.035988884,-0.007452872
2005,,febrero,,-0.067835052,0.029344755,-0.143564356,0.10455724,0.033619417,-0.008100147
2005,2005T1,marzo,0.038114864,-0.084919173,0.024720546,-0.370786517,0.059204162,0.034921716,-0.011191942
2005,,abril,,-0.096516393,0.028053117,0.167487685,0.086348951,0.037013595,-0.009289713
2005,,mayo,,-0.136269644,0.026665114,-0.004464286,0.093545688,0.024940158,-0.00775601
2005,2005T2,junio,0.041639292,-0.160375391,0.028164377,0.835978836,0.072696298,0.021110264,-0.009588515
2005,,julio,,-0.136696672,0.030827104,0.886639676,0.08199476,0.02727957,-0.010161962
2005,,agosto,,-0.133573243,0.034212339,1.032786885,0.090597453,0.020204601,-0.007182301
2005,2005T3,septiembre,0.053141488,-0.134024984,0.033110776,1.057971014,0.083237764,0.018648103,-0.004095778
2005,,octubre,,-0.127727856,0.041375531,0.444933921,0.093914612,0.017605124,-0.00119315
2005,,noviembre,,-0.124350087,0.045531138,1.147368421,0.053202087,0.028136117,-0.002472253
2005,2005T4,diciembre,0.033512298,-0.121780882,0.046070287,1.111764706,0.038891883,0.032737188,-0.002782082
2006,,enero,,-0.087796313,0.047697826,0.128834356,0.074418842,0.042982966,-0.000123675
2006,,febrero,,-0.097323601,0.048540879,0.161849711,0.059952068,0.035999036,0.00201506
2006,2006T1,marzo,0.0571737,-0.073345259,0.049891989,0.345238095,0.101497032,0.032889529,0.003908461
2006,,abril,,-0.064413699,0.047921089,0.164556962,0.081026205,0.027695955,0.0003002
2006,,mayo,,-0.006703376,0.054592798,0.291479821,0.09510941,0.028635845,-0.000299961
2006,2006T2,junio,0.067183426,0.038251366,0.057784993,-0.429394813,0.105091616,0.02898655,0.003967764
2006,,julio,,-0.007759457,0.061420166,-0.4527897,0.15649037,0.022739863,0.006961992
2006,,agosto,,-0.014170535,0.062544335,-0.233870968,0.126984675,0.02671008,0.007991129
2006,2006T3,septiembre,0.070360102,0.004400978,0.061669858,-0.338028169,0.098573592,0.030537961,0.006379838
2006,,octubre,,-0.033357861,0.060673393,0.43902439,0.107169164,0.031782863,0.009802544
2006,,noviembre,,-0.035131123,0.055499933,-0.524509804,0.123223656,0.030013631,0.010634184
2006,2006T4,diciembre,0.081797234,-0.040755467,0.05439601,-0.576601671,0.146198975,0.028564233,0.010965145
2007,,enero,,-0.0813282,0.053896298,0.048913043,0.138397997,0.027914473,0.013111162
2007,,febrero,,-0.065180103,0.055450732,-0.074626866,0.153531301,0.037143965,0.014500423
2007,2007T1,marzo,0.071402843,-0.07480695,0.054674639,0.146017699,0.130317868,0.03039566,0.01525588
2007,,abril,,-0.078060606,0.058423989,0.007246377,0.1225058,0.01755896,0.018695053
2007,,mayo,,-0.101229212,0.05263057,0.152777778,0.107595213,0.033689321,0.020650582
2007,2007T2,junio,0.058575839,-0.110287081,0.047939334,0.151515152,0.090003325,0.036047457,0.018530879
2007,,julio,,-0.07086999,0.050416642,-0.101960784,0.069978429,0.038082175,0.01830242
2007,,agosto,,-0.039653036,0.049147032,-0.128947368,0.049794651,0.038996681,0.014685596
2007,2007T3,septiembre,0.049878402,-0.097614411,0.0473375,0.464539007,0.07601915,0.039060539,0.012748642
2007,,octubre,,-0.061659477,0.047167817,-0.434322034,0.062309472,0.047873028,0.011516649
2007,,noviembre,,-0.05025641,0.049440661,0.690721649,0.06021113,0.032922474,0.010800564
2007,2007T4,diciembre,0.063972592,-0.04507772,0.050667727,0.046052632,0.03232689,0.031089308,0.011684569
2008,,enero,,-0.042430592,0.047469761,-0.461139896,0.058258095,0.026964587,0.007203279
2008,,febrero,,-0.043250328,0.045989791,-0.134408602,0.027682843,0.026523744,0.00373848
2008,2008T1,marzo,0.043338061,-0.047991654,0.04508921,-0.455598456,0.004093892,0.040797226,-0.000242925
2008,,abril,,-0.045227452,0.045660085,0.136690647,0.040522451,0.040492302,1.73295E-05
2008,,mayo,,-0.048806651,0.04375654,-0.063253012,0.041739782,0.045093981,0.000363152
2008,2008T2,junio,0.035505916,-0.053509008,0.049335697,-0.245614035,0.075989098,0.048590717,-0.000189698
2008,,julio,,-0.077327722,0.045580794,0.825327511,0.093566558,0.052338792,0.00258487
2008,,agosto,,-0.08,0.04044858,0.117824773,0.100480751,0.054052241,0.001738143
