ano,periodo,mes,ITAEE,CPTPC,CPTPU,CPTEC,CPTEU,INPC,INPC2,PATRON
2004,,enero,,-0.032467532,0.009648015,,0.234728406,0.043184517,0.025223056,0.002379975
2004,,febrero,,-0.044711014,0.008871351,,0.214159585,0.042922118,0.032645582,0.000817795
2004,2004T1,marzo,0.070945459,-0.026115343,0.017309687,,0.251109632,0.04539972,0.033123698,0.002282361
2004,,abril,,-0.029315961,0.016291884,,0.227121553,0.044018494,0.029652796,-0.000324965
2004,,mayo,,-0.02967033,0.008472482,,0.230619104,0.042491208,0.031229505,-0.002108849
2004,2004T2,junio,0.054062677,-0.027716186,0.015725995,,0.25934925,0.041594504,0.035740512,0.003092196
2004,,julio,,-0.0234375,0.015186126,,0.225198848,0.04124263,0.031009993,0.005773766
2004,,agosto,,-0.022396417,0.00885729,,0.184335045,0.044317867,0.037389923,0.007974611
2004,2004T3,septiembre,0.065235639,-0.02020202,0.010403443,,0.189867118,0.051427754,0.04208709,0.007485761
2004,,octubre,,-0.037988827,0.011471821,,0.157030757,0.06310786,0.042007134,0.003077172
2004,,noviembre,,-0.033557047,0.006682294,,0.10435486,0.06521801,0.046005049,0.006810995
2004,2004T4,diciembre,0.016960397,-0.029213483,0.008567399,,0.090561729,0.063038113,0.041951552,-0.000325045
2005,,enero,,-0.032438479,0.017538546,,0.093850666,0.048843763,0.042036383,0.00777796
2005,,febrero,,-0.021689498,0.023743003,,0.099122847,0.046334954,0.037387916,0.003758784
2005,2005T1,marzo,0.036655791,-0.05027933,0.031680053,,0.055077605,0.04450803,0.040240509,0.000243982
2005,,abril,,-0.053691275,0.019869879,,0.031386606,0.04982932,0.040104621,-0.000893946
2005,,mayo,,-0.057757644,0.02966434,,0.031894273,0.052378545,0.041899703,-0.001544339
2005,2005T2,junio,0.000894794,-0.051311288,0.033396741,,0.033931717,0.050865363,0.037921545,-0.006165328
2005,,julio,,-0.058285714,0.029097055,,0.000557591,0.053641077,0.04452711,-0.011319534
2005,,agosto,,-0.063001145,0.030925197,-0.455284553,0.039144849,0.048558325,0.037777159,-0.011625091
2005,2005T3,septiembre,0.006341047,-0.065292096,0.033107253,0.197080292,0.027605822,0.042845873,0.032361387,-0.007107091
2005,,octubre,,-0.056910569,0.029216168,0.282608696,0.018631119,0.036387585,0.030910801,-0.010171954
2005,,noviembre,,-0.065972222,0.030329675,-0.044072948,0.072111667,0.028910337,0.026423484,-0.010469518
2005,2005T4,diciembre,0.022960354,-0.069444444,0.022591674,0.116883117,0.08682695,0.030474081,0.034800233,-0.003332791
2006,,enero,,-0.075144509,0.023871482,-0.069258809,0.094061799,0.042342871,0.037886912,-0.007636689
2006,,febrero,,-0.07117853,0.0228955,-0.090655509,0.075215018,0.043243339,0.033126069,-0.002767828
2006,2006T1,marzo,0.010737995,-0.06,0.02126538,-0.252895753,0.091333221,0.034843852,0.034007683,0.000975689
2006,,abril,,-0.03427896,0.037796935,0.82183908,0.117233195,0.027374748,0.02852662,0.009842199
2006,,mayo,,-0.026442308,0.027267361,-0.248858447,0.078765369,0.025366212,0.027701478,0.013432107
2006,2006T2,junio,0.035391549,-0.032451923,0.022468499,-0.714285714,0.057523021,0.025744582,0.029471508,0.018365848
2006,,julio,,-0.058252427,0.026491371,5.222222222,0.082915373,0.024928142,0.026244911,0.019954203
2006,,agosto,,-0.041564792,0.034274694,1.149253731,0.120168514,0.033911005,0.029992312,0.026055705
2006,2006T3,septiembre,0.015672342,-0.069852941,0.0471241,0.682926829,0.109166395,0.044363674,0.036161335,0.022938019
2006,,octubre,,0.016009852,0.052148757,1.988700565,0.097727099,0.046937276,0.040521753,0.035967702
2006,,noviembre,,0.044609665,0.050339945,-0.381558029,0.110267603,0.046044711,0.04047137,0.034101082
2006,2006T4,diciembre,0.02575227,0.036069652,0.04681676,0.108527132,0.05180272,0.044406608,0.03841661,0.032215969
2007,,enero,,0.0375,0.049602821,0.033942559,0.104977703,0.039624075,0.037948637,0.039214081
2007,,febrero,,0.051507538,0.047181292,0.82208589,0.124754836,0.038750511,0.039265158,0.041387755
2007,2007T1,marzo,0.031081623,-0.082603254,0.035874935,0.045219638,0.138686694,0.043388412,0.032238184,0.035171798
2007,,abril,,-0.090575275,0.021911284,0.23659306,0.052617602,0.045865909,0.034921219,0.03399114
2007,,mayo,,-0.088888889,0.035097963,-0.458966565,0.079148364,0.044306439,0.036833555,0.030926179
2007,2007T2,junio,0.008533272,-0.095652174,0.032229027,0.730769231,0.066554145,0.045841927,0.039532386,0.032943251
2007,,julio,,-0.06185567,0.030991169,-0.535714286,0.040102922,0.048295261,0.042933873,0.038566389
2007,,agosto,,-0.05994898,0.031495772,-0.569444444,0.013984737,0.043551908,0.041703915,0.04028021
2007,2007T3,septiembre,0.019568129,-0.039525692,0.016985138,-0.710144928,0.026605505,0.039223686,0.037687145,0.03562341
2007,,octubre,,-0.117575758,0.017446909,-0.529300567,0.023250139,0.031545741,0.03961601,0.024720516
2007,,noviembre,,-0.132858837,0.01799059,0.401028278,0.04625641,0.037973321,0.044946684,0.024161813
2007,2007T4,diciembre,0.046668909,-0.132052821,0.020755612,0.491258741,0.012929364,0.03632681,0.045081239,0.023072061
2008,,enero,,-0.120481928,0.010874227,0.306818182,0.03279523,0.037719738,0.040652601,0.015204033
2008,,febrero,,-0.150537634,0.011317516,-0.153198653,0.019420795,0.035156346,0.044221902,0.010660814
2008,2008T1,marzo,0.009947693,-0.035470668,0.012448834,0.360939431,-0.042717987,0.040544743,0.047410422,0.009887006
2008,,abril,,-0.02960969,0.025659321,1.903061224,0.046996072,0.047477672,0.047807348,0.005764587
2008,,mayo,,-0.036585366,0.022303801,3.820224719,0.08694855,0.048169478,0.048380439,0.009272246
2008,2008T2,junio,0.048100108,-0.035714286,0.023626082,0.222222222,0.085527262,0.047564722,0.051181268,0.003569489
2008,,julio,,-0.031593407,0.030768958,1.076923077,0.118674018,0.046597219,0.046742802,-0.001235235
2008,,agosto,,-0.050203528,0.03510703,-0.080645161,0.070039611,0.052531272,0.047191348,-0.011325375
2008,2008T3,septiembre,0.028033044,-0.049382716,0.028272933,-0.0875,0.054226988,0.054175313,0.043532338,-0.0127457
2008,,octubre,,-0.068681319,0.020596837,0.156626506,0.007732925,0.059448901,0.04090604,-0.016210817
2008,,noviembre,,-0.082079343,0.015725587,-0.273394495,-0.01244976,0.0627817,0.047030126,-0.014293399
2008,2008T4,diciembre,-0.02750308,-0.037344398,0.020684155,-0.515826495,-0.010503617,0.071441624,0.053423006,-0.013438369
2009,,enero,,-0.009589041,0.010041279,-0.29178744,-0.030486517,0.06817948,0.047251946,-0.017149065
2009,,febrero,,0.023909986,0.014532211,-0.155069583,-0.058628207,0.066237285,0.038530777,-0.013883503
2009,2009T1,marzo,-0.013516434,0.060820368,0.002443333,-0.121707539,0.029714165,0.064149756,0.037910354,-0.008547009
2009,,abril,,0.026352288,0.006727662,-0.130052724,-0.006643489,0.060785646,0.053141541,-0.00952676
2009,,mayo,,0.035161744,-0.012498248,-0.636363636,-0.083367072,0.060898259,0.05055927,-0.018065313
2009,2009T2,junio,-0.077174347,0.025641026,-0.008642116,0.527272727,-0.068252601,0.0632808,0.047514801,-0.013531277
2009,,julio,,0.025531915,-0.016344648,0.388888889,-0.050894042,0.060680232,0.050533933,-0.013372497
2009,,agosto,,0.031428571,-0.020550373,0.98245614,-0.053171799,0.056331328,0.052559553,-0.008359133
2009,2009T3,septiembre,-0.035942719,0.043290043,-0.024797189,1.753424658,-0.082530856,0.052873179,0.05458085,-0.007232851
2009,,octubre,,0.063421829,-0.013805418,0.090277778,-0.074335745,0.047476198,0.050143526,-0.004217103
2009,,noviembre,,0.098360656,-0.013858787,0.351010101,-0.065647542,0.039414524,0.036569361,-0.002962501
2009,2009T4,diciembre,0.002750117,0.050287356,-0.013146483,0.280871671,-7.03E-05,0.029653633,0.029455601,-0.002426804
2010,,enero,,0.022130014,-0.003596776,-0.021828104,-0.033732752,0.037665551,0.049485637,-0.001421127
2010,,febrero,,-0.01510989,-0.006804796,-0.065882353,-0.04963124,0.043777723,0.058943785,-0.000707881
2010,2010T1,marzo,0.013869638,-0.017333333,0.009924862,-0.132368149,-0.037949492,0.044857202,0.063266269,-0.001410658
2010,,abril,,-0.010810811,0.002457905,-0.135353535,-0.057834916,0.036221643,0.04151288,-0.001016578
2010,,mayo,,-0.016304348,0.010368163,-0.009615385,0.007471751,0.032923018,0.037348937,0.008333989
2010,2010T2,junio,0.073069266,0.005555556,0.008894638,0.761904762,-0.041177726,0.026900482,0.035161851,0.0057219
2010,,julio,,-0.015214385,0.001600406,0.506666667,-0.054821423,0.02734104,0.036159051,0.007991225
2010,,agosto,,-0.026315789,0.003698473,0.628318584,-0.018197974,0.026409448,0.033063224,0.005775835
2010,2010T3,septiembre,0.067256669,-0.033195021,-0.005907631,-0.039800995,-0.016150492,0.024412427,0.033665112,0.005797101
2010,,octubre,,-0.049930652,0.010006624,0.385350318,0.027535332,0.029930098,0.040807004,0.006666144
2010,,noviembre,,-0.080054274,0.004658249,0.224299065,0.003222608,0.033276524,0.044891293,-0.00250215
2010,2010T4,diciembre,0.058223839,-0.093023256,0.008509824,0.366729679,0.011002531,0.034892262,0.042038568,-0.003688299
2011,,enero,,-0.077131258,-0.000131743,0.227336123,0.004171207,0.029581501,0.02965636,-0.002530044
2011,,febrero,,-0.054393305,0.002412471,0.259445844,0.034865412,0.031333957,0.03463043,-0.008264463
2011,2011T1,marzo,0.052755257,-0.089552239,-0.006571808,0.327771156,-0.03256295,0.028676039,0.027967277,-0.011615131
2011,,abril,,-0.086065574,0.008533585,0.329439252,0.046489389,0.034093954,0.02779498,-0.012133072
2011,,mayo,,-0.053867403,-0.000166787,0.349514563,-0.022468216,0.032401756,0.029046244,-0.017387914
2011,2011T2,junio,0.01126423,-0.08839779,0.009975325,-0.445945946,0.000890076,0.037711378,0.027172592,-0.016054867
2011,,julio,,-0.063202247,0.013917872,-0.336283186,0.014931681,0.038808432,0.037525179,-0.020596922
2011,,agosto,,-0.015647226,-0.001266391,-0.163043478,-0.031278283,0.037642052,0.041266945,-0.025841999
2011,2011T3,septiembre,0.002844,-0.024320458,0.009504802,0.051813472,-0.009165696,0.033692865,0.038555352,-0.029753096
2011,,octubre,,0,-0.013230382,-0.151724138,-0.055123147,0.034563606,0.038350252,-0.036693674
2011,,noviembre,,-0.036873156,-0.016960379,-0.279389313,-0.045501077,0.035258015,0.038830724,-0.031590499
