año,periodo,mes,ITAEE,CPTPC,CPTPU,CPTEC,CPTEU,INPC,PATRON
2004,,enero,,0.055856299,0.033889773,-0.143507973,0.046729784,0.048315278,-0.014774495
2004,,febrero,,0.050297324,0.043351751,-0.14960182,0.000503271,0.048203272,-0.012880562
2004,2004T1,marzo,0.025842464,0.035507429,0.04689227,0.753812636,0.010934802,0.045491803,-0.000783801
2004,,abril,,0.034880739,0.044457377,0.512735327,0.013763683,0.044907058,-0.004943411
2004,,mayo,,0.080721003,0.053632658,-0.179594689,0.02787919,0.039021931,-0.009997403
2004,2004T2,junio,-0.027826508,0.063391442,0.056181589,-0.511688312,0.003307347,0.037670876,-0.01465059
2004,,julio,,0.097148891,0.052037758,-0.576923077,0.018216319,0.045246082,-0.018389018
2004,,agosto,,0.079360922,0.047728948,-0.467213115,0.023828562,0.051688843,-0.021430416
2004,2004T3,septiembre,-0.002660767,0.087289433,0.042198761,-0.409326425,-0.015217875,0.056642006,-0.02340535
2004,,octubre,,0.062638718,0.034371392,-0.53626943,-0.087745062,0.059190847,-0.022654138
2004,,noviembre,,0.046800382,0.050482914,0.18974359,0.035629828,0.055691401,-0.013348885
2004,2004T4,diciembre,0.010844672,0.000930449,0.051278018,0.077079108,-0.005219626,0.048727912,-0.015796345
2005,,enero,,0.044977861,0.051516437,0.080452128,0.020579205,0.040140113,-0.013549066
2005,,febrero,,0.05378627,0.058079779,0.111036789,0.05491281,0.038092192,-0.009621721
2005,2005T1,marzo,-0.009256992,0.071011673,0.061187101,0.00310559,-0.026756669,0.04548148,-0.0224866
2005,,abril,,0.100123916,0.05680499,0.234992679,-0.06256451,0.050146034,-0.021048503
2005,,mayo,,0.047377327,0.046604446,0.34241908,-0.027445915,0.049519904,-0.016918033
2005,2005T2,junio,0.026233576,0.066318927,0.04629941,-0.159574468,-0.001726709,0.045911651,-0.009473684
2005,,julio,,0.061116458,0.043400768,-0.006493506,-0.143719717,0.038963276,-0.010686016
2005,,agosto,,0.061878185,0.049929633,0.153846154,-0.047797563,0.032468235,-0.007915567
2005,2005T3,septiembre,0.011925284,0.007981221,0.048663977,0.442982456,-0.039650234,0.027177452,-0.009217804
2005,,octubre,,0.010675331,0.048403397,1.094972067,0.06833548,0.02223144,-0.007375214
2005,,noviembre,,0.016195255,0.036135781,-0.492816092,0.032881717,0.016803614,-0.012215946
2005,2005T4,diciembre,-0.000249401,0.006507088,0.040682277,0.105461394,0.006619309,0.025750505,-0.008356546
2006,,enero,,-0.050847458,0.03655021,0.257230769,-0.027319294,0.036195695,-0.005734098
2006,,febrero,,-0.058204612,0.028519391,0.332931969,-0.011523484,0.033120918,-0.011711472
2006,2006T1,marzo,0.084083079,-0.037920073,0.032172641,0.287925697,0.039776051,0.026124414,-0.00267487
2006,,abril,,-0.047082676,0.03402317,0.104327208,0.034471076,0.021395316,-0.003205128
2006,,mayo,,-0.027463651,0.041830449,-0.062817259,0.064658035,0.022902694,0.003468517
2006,2006T2,junio,0.066177669,-0.033775914,0.041474924,0.537974684,0.009198836,0.024587871,0.000664187
2006,,julio,,-0.053287982,0.048676507,0.31372549,0.15957169,0.025897197,0.006534205
2006,,agosto,,-0.047989031,0.045559182,0.04,0.016650262,0.030478385,0.009707447
2006,2006T3,septiembre,0.045480499,-0.048672566,0.049789591,-0.11550152,0.023861852,0.033691669,0.008240298
2006,,octubre,,-0.077382319,0.041823727,0.002666667,0.01642432,0.038825144,0.010216266
2006,,noviembre,,-0.098316498,0.045057742,0.61898017,0.018570376,0.04426833,0.011037234
2006,2006T4,diciembre,0.056713654,-0.078965597,0.044109613,0.080068143,-0.046752205,0.041435894,0.008025682
2007,,enero,,-0.034069549,0.053792726,0.059716104,0.091448633,0.037661008,0.013546137
2007,,febrero,,-0.028999287,0.05682489,-0.017163505,0.061585464,0.038968452,0.021411258
2007,2007T1,marzo,0.132893822,-0.029974038,0.051226807,0.026442308,0.051836374,0.042267884,0.017299182
2007,,abril,,-0.04893617,0.056685552,0.061191626,0.131815949,0.044190453,0.02170418
2007,,mayo,,-0.031324158,0.054834441,-0.410291131,0.058002651,0.042452146,0.016484977
2007,2007T2,junio,0.080507456,-0.022661524,0.056683967,-0.115226337,0.070426924,0.041887407,0.021107129
2007,,julio,,0.031856287,0.051415206,0.144278607,0.009309309,0.044779928,0.02318495
2007,,agosto,,0.02712434,0.058999763,0.316239316,0.099878983,0.044661839,0.027525352
2007,2007T3,septiembre,0.036605541,0.058017136,0.051560735,0.202749141,-0.009122968,0.044732111,0.027023464
2007,,octubre,,0.06197113,0.05949208,-0.042553191,0.048550886,0.042543466,0.026530076
2007,,noviembre,,0.083395569,0.060661107,-0.554680665,0.04145565,0.043635851,0.022754176
2007,2007T4,diciembre,0.025448799,0.086237152,0.058370742,-0.166140904,0.066290906,0.042677589,0.025477707
2008,,enero,,0.065190951,0.052058691,-0.03926097,-0.004901585,0.040815488,0.026333201
2008,,febrero,,0.089840881,0.048824347,0.044577206,0.024310815,0.037433067,0.021753461
2008,2008T1,marzo,-0.022482914,0.062043796,0.042945943,-0.000468384,0.019254279,0.036257052,0.020168732
2008,,abril,,0.098185434,0.041728104,-0.030854831,-0.021846065,0.044625559,0.016915814
2008,,mayo,,0.047280745,0.03917146,-0.718714122,-0.010831921,0.042980763,0.015956055
2008,2008T2,junio,-0.000242868,0.088554514,0.035536499,0.111627907,0.01797671,0.050241957,0.011570463
2008,,julio,,0.02553389,0.034891419,0.186956522,0.041803035,0.046418105,0.010229186
2008,,agosto,,-0.318766067,0.026106294,-0.061688312,-0.025819702,0.046384731,-0.001025378
2008,2008T3,septiembre,0.061260917,-0.335030079,0.026383012,-0.011428571,0.107698259,0.046620084,0.005775895
2008,,octubre,,-0.011014764,0.026993913,0.033333333,0.019793581,0.042353898,0.005117707
2008,,noviembre,,-0.027803309,0.021382048,-0.055009823,-0.089475512,0.050752223,0.011445473
2008,2008T4,diciembre,0.037292357,-0.03138703,0.022482143,-0.032786885,0.039921105,0.057871727,0.012034161
2009,,enero,,-0.043617264,0.012282936,-0.044230769,-0.042330486,0.059063265,-0.000902527
2009,,febrero,,-0.067385445,0.011300169,-0.088869336,-0.093974122,0.060672168,0.004903226
2009,2009T1,marzo,-0.056963297,-0.04513173,0.00492579,-0.034676664,-0.046551724,0.058694404,0.00594392
2009,,abril,,-0.049343594,0.002586373,0.020876827,-0.026179559,0.060036936,0.003352676
2009,,mayo,,-0.004444444,0.001682464,0.563265306,-0.118221097,0.054948674,0.002703399
2009,2009T2,junio,-0.041820137,-0.037616134,0.00016665,0.347280335,-0.081146779,0.050247534,0.000899627
2009,,julio,,-0.031009507,-8.96E-05,0.205128205,-0.041696416,0.052916556,-0.003076134
2009,,agosto,,0.426072041,0.005962991,0.100346021,0.023341616,0.049272038,0.000128304
2009,2009T3,septiembre,-0.037334738,0.38796103,0.002616431,0.12716763,0.027589579,0.044789306,0.001148545
2009,,octubre,,-0.037914692,-0.005965073,0.384408602,0.023014002,0.046995931,0
2009,,noviembre,,-0.026943985,-0.006199029,1.862785863,0.121232929,0.040283482,-0.00432295
2009,2009T4,diciembre,0.007511524,-0.008815821,-0.002061357,0.214471969,0.08406039,0.036999603,-0.000383583
2010,,enero,,-0.010744986,0.004314274,0.054325956,0.102547617,0.044545373,0.007871983
2010,,febrero,,-0.006743738,0.002427434,0.018831482,0.159050106,0.047595982,0.00770416
2010,2010T1,marzo,0.071899667,-0.005998081,0.011269925,-0.026699029,0.181539429,0.051865724,0.01194605
2010,,abril,,-0.000952381,0.016235433,-0.054192229,0.16395808,0.044802894,0.018378101
2010,,mayo,,-0.013862782,0.025912582,0.412532637,0.288417673,0.04217772,0.020670176
2010,2010T2,junio,0.061779763,-0.004002826,0.032734777,0.729813665,0.212885154,0.040316235,0.021700051
2010,,julio,,-0.000467181,0.042393919,0.58662614,0.217329757,0.041671592,0.027770635
2010,,agosto,,0.034399808,0.040155011,0.474842767,0.191523803,0.044270333,0.026170622
2010,2010T3,septiembre,0.062544115,0.076209576,0.050371709,0.3,0.136963023,0.042303026,0.022307202
2010,,octubre,,0.066748768,0.0661883,0.297087379,0.123390703,0.040036231,0.023930754
2010,,noviembre,,0.053194073,0.073203467,0.316630356,0.189847578,0.043318622,0.029370451
2010,2010T4,diciembre,0.092659281,0.036057692,0.072347533,0.096081589,0.144936665,0.040372245,0.031593758
2011,,enero,,0.038860729,0.06565069,0.071564885,0.183613966,0.033793351,0.028169014
2011,,febrero,,0.033947624,0.078604466,0.073933649,0.21727804,0.035880494,0.027905199
2011,2011T1,marzo,0.07519818,0.026309438,0.092564086,0.066334165,0.158437583,0.031667619,0.029068291
2011,,abril,,0.005719733,0.07692502,-0.067567568,0.169309062,0.030743479,0.028016153
2011,,mayo,,-0.008101025,0.064388732,-0.044362292,0.208379778,0.035982096,0.023144654
2011,2011T2,junio,0.106663677,-0.01820331,0.047769159,-0.032315978,0.190916089,0.036912871,0.027899962
2011,,julio,,-0.032016826,0.039208947,0.057471264,0.123140951,0.036684424,0.026394796
2011,,agosto,,-0.03372093,0.036067945,0.268656716,0.155057429,0.035438888,0.031253907
2011,2011T3,septiembre,0.103359402,-0.029350105,0.025656563,0.185404339,0.118192144,0.035803617,0.031795511
2011,,octubre,,-0.041791734,0.01532824,-0.064371257,0.109837747,0.033077873,0.02859274
2011,,noviembre,,-0.057426199,0.013756387,-0.119139548,0.090300812,0.034419889,0.027788116
2011,2011T4,diciembre,0.009897681,-0.045243619,0.008822725,-0.081782566,0.087286064,0.039770439,0.019962802
2012,,enero,,-0.044144981,0.01218927,-0.099732858,0.106848134,0.044152554,0.016562889
2012,,febrero,,-0.039868668,0.011213532,-0.065754634,0.036959917,0.040946053,0.013139953
2012,2012T1,marzo,0.017185811,-0.050799624,-0.008383694,-0.014031805,0.106037107,0.036315087,0.010238066
